"Outcome
Timeframe","Study results and
measurements","Comparator
No intervention, or
alternative medicines","Intervention
PMC","Certainty of the
evidence
(Quality of evidence)",Summary
8 Critical,,,,,
"Severe malaria
incidence:
DHAP (monthly
doses from 6–24
months of age) 7
8 Critical","Rate ratio 1.29
(CI 95% 0.28 — 5.98)
Based on data from 147
participants in 1 studies.
(Randomized controlled)",Difference:,"8 more per 1000
( CI 95% 21 fewer
— 144 more )","Low
Due to very serious
imprecision 8","PMC with DHAP may
increase severe malaria
incidence."
"Anaemia
incidence: AS-
AQ (at 10, 14
weeks and 9
months)
7 Critical","Rate ratio 0.77
(CI 95% 0.53 — 1.12)
Based on data from 684
participants in 1 studies.
(Randomized controlled)",Difference:,"70 fewer per 1000
140 fewer — 40
more","Moderate
Due to serious
imprecision 9","PMC with AS-AQ
probably reduces
anaemia incidence."
"Anaemia
incidence:
SP+AS (at 10, 14
weeks and 9
months)
7 Critical","Rate ratio 0.72
(CI 95% 0.49 — 1.07)
Based on data from 676
participants in 1 studies.
(Randomized controlled)",Difference:,"80 fewer per 1000
( CI 95% 150 fewer
— 20 more )","Moderate
Due to serious
imprecision 10","PMC with SP+AS
probably reduces
anaemia incidence."
"Anaemia
incidence: SP
(various dosing
regimens)
7 Critical","Rate ratio 0.82
(CI 95% 0.68 — 0.98)
Based on data from 7,438
participants in 6 studies.
(Randomized controlled)",Difference:,"6 fewer per 1000
( CI 95% 100 fewer
— 10 fewer )","Moderate
Due to serious
inconsistency 11","PMC with SP probably
reduces anaemia
incidence."
"Anaemia
incidence: MQ
(at 10, 14 weeks
and 9 months)
7 Critical","Rate ratio 1.06
(CI 95% 0.78 — 1.44)
Based on data from 480
participants in 1 studies.
(Randomized controlled)",Difference:,"20 fewer per 1000
( CI 95% 60 fewer
— 130 more )","Moderate
Due to serious
imprecision 12","PMC with MQ probably
increases anaemia
incidence."
"All-cause
mortality: SP
(various dosing
regimens)
5 Important","Relative risk 0.93
(CI 95% 0.74 — 1.15)
Based on data from
14,588 participants in 9
studies. (Randomized
controlled)","23
per 1000
Difference:","21
per 1000
2 fewer per 1000
( CI 95% 6 fewer
— 3 more )","Moderate
Due to serious
inconsistency 13","PMC with SP probably
reduces all-cause
mortality slightly."
,,,,,
