"Outcome
Timeframe","Study results and
measurements","Comparator
other antimalarials","Intervention
ASPY","Certainty of the
evidence
(Quality of evidence)",Summary
"treatment(s),
abnormal ALT
increase","(CI 95% 0.76 — 6.27)
Based on data from
1,649 participants in 1
studies. 9 (Randomized
controlled)","per 1000
Difference:","per 1000
5 more per 1000
( CI 95% 1 fewer
— 21 more )","Due to serious
indirectness, Due
to serious
imprecision 10","increased risk of raised
ALT with subsequent
treatments with ASPY
compared to other
antimalarials."
"Subsequent
treatment(s),
abnormal AST
increase","Relative risk 1.82
(CI 95% 0.74 — 4.44)
Based on data from
1,649 participants in 1
studies. 11 (Randomized
controlled)","6
per 1000
Difference:","11
per 1000
5 more per 1000
( CI 95% 2 fewer
— 21 more )","Low
Due to serious
indirectness, Due
to serious
imprecision 12","There may be an
increased risk of raised
AST with subsequent
treatments with ASPY
compared to other
antimalarials."
"Subsequent
treatment(s),
abnormal
bilirubin
increase","Relative risk 1.13
(CI 95% 0.42 — 3.01)
Based on data from
1,649 participants in 1
studies. 13 (Randomized
controlled)","8
per 1000
Difference:","9
per 1000
1 more per 1000
( CI 95% 5 fewer
— 16 more )","Low
Due to serious
indirectness, Due
to serious
imprecision 14","There may be little or no
difference for bilirubin
between ASPY and other
antimalarials."
"1. Systematic review [219] with included studies: Poravuth 2011, Rueangweerayut 2012, Tshefu 2010, Kayentao 2012, Roth
2018a, Shin 2011, Nelwan 2015.
2, 8. Inconsistency: no serious. Indirectness: no serious. Imprecision: serious. The CI includes both no effect and
clinically important effects..
3. Systematic review [219] with included studies: Sagara 2018 (Kolle, Mali), Roth 2018a, Sagara 2018 (Djoliba, Mali), Nelwan
2015, Sagara 2018 (Bougoula, Mali), Sagara 2018 (Kolle, Mali), Shin 2011, Sagara 2018 (Mafrinyah, Guinea), Poravuth 2011,
Sagara 2018 (Bobo-Doiulasso, Burkina Faso), Rueangweerayut 2012, Sagara 2018 (Sotuba, Mali), Sagara 2018
(Ouagadougou, Burkina Faso), Sagara 2018 (Bougoula, Mali), Tshefu 2010, Kayentao 2012, Sagara 2018 (Sotuba, Mali).
4. Inconsistency: no serious. Indirectness: no serious. Imprecision: no serious. Although the CI is wide, there were few
events..
5. Systematic review [219] with included studies: Kayentao 2012, Sagara 2018 (Kolle, Mali), Sagara 2018 (Kolle, Mali),
Rueangweerayut 2012, Sagara 2018 (Sotuba, Mali), Roth 2018a, Sagara 2018 (Bougoula, Mali), Poravuth 2011, Nelwan 2015,
Shin 2011, Sagara 2018 (Sotuba, Mali), Sagara 2018 (Bobo-Doiulasso, Burkina Faso), Sagara 2018 (Djoliba, Mali), Tshefu
2010, Sagara 2018 (Ouagadougou, Burkina Faso), Sagara 2018 (Mafrinyah, Guinea), Sagara 2018 (Bougoula, Mali).
6. Inconsistency: no serious. Indirectness: no serious. Imprecision: serious. The CI includes both almost no effect and
clinically important effects.
7. Systematic review [219] with included studies: Kayentao 2012, Sagara 2018 (Kolle, Mali), Sagara 2018 (Sotuba, Mali),
Nelwan 2015, Sagara 2018 (Ouagadougou, Burkina Faso), Sagara 2018 (Bougoula, Mali), Sagara 2018 (Bougoula, Mali),
Sagara 2018 (Sotuba, Mali), Sagara 2018 (Djoliba, Mali), Poravuth 2011, Sagara 2018 (Bobo-Doiulasso, Burkina Faso),
Rueangweerayut 2012, Shin 2011, Sagara 2018 (Mafrinyah, Guinea), Sagara 2018 (Kolle, Mali), Tshefu 2010.
9. Systematic review [219] with included studies: Sagara 2018 (Bougoula, Mali), Sagara 2018 (Ouagadougou, Burkina Faso),
Sagara 2018 (Bougoula, Mali), Sagara 2018 (Mafrinyah, Guinea), Sagara 2018 (Kolle, Mali), Sagara 2018 (Sotuba, Mali),
Sagara 2018 (Bobo-Doiulasso, Burkina Faso), Sagara 2018 (Sotuba, Mali), Sagara 2018 (Djoliba, Mali), Sagara 2018 (Kolle,
Mali).
10. Inconsistency: no serious. Indirectness: serious. The CI includes both no effect and clinically important effects..
Imprecision: serious.
11. Systematic review [219] with included studies: Sagara 2018 (Djoliba, Mali), Sagara 2018 (Bougoula, Mali), Sagara 2018
(Bobo-Doiulasso, Burkina Faso), Sagara 2018 (Mafrinyah, Guinea), Sagara 2018 (Sotuba, Mali), Sagara 2018 (Kolle, Mali),
Sagara 2018 (Bougoula, Mali), Sagara 2018 (Sotuba, Mali), Sagara 2018 (Ouagadougou, Burkina Faso), Sagara 2018 (Kolle,
Mali).
12, 14. Inconsistency: no serious. Indirectness: serious. Imprecision: serious.",,,,,
