"Outcome
Timeframe","Study results and
measurements","Comparator
no ITNs","Intervention
ITNs","Certainty of the
evidence
(Quality of evidence)",Summary
"P. vivax case
incidence","Relative risk 0.69
(CI 95% 0.51 — 0.94)
Based on data from 2,997
participants in 3 studies.","116
per 1000
Difference:","80
per 1000
36 fewer per 1000
( CI 95% 57 fewer
— 7 fewer )","Moderate
Due to serious
imprecision 1","ITNs probably reduce P.
vivax case incidence
compared to no ITNs."
"P. vivax
prevalence","Relative risk 1
(CI 95% 0.75 — 1.34)
Based on data from 2,079
participants in 2 studies.","99
per 1000
Difference:","99
per 1000
0 fewer per 1000
( CI 95% 25 fewer
— 34 more )","Low
Due to very serious
imprecision 2","ITNs may result in little to
no difference in P. vivax
prevalence compared to
no ITNs."
"1. Inconsistency: no serious. Indirectness: no serious. Imprecision: serious. Publication bias: no serious.
2. Inconsistency: no serious. Indirectness: no serious. Imprecision: very serious. Publication bias: no serious.
References
55. Messenger LA, Furnival-Adams J, Pelloquin B, Rowland M. Vector control for malaria prevention during humanitarian
emergencies: protocol for a systematic review and meta-analysis. BMJ Open 2021;11(7):e046325-e046325 Pubmed Journal
Website",,,,,
