"Outcome
Timeframe","Study results and
measurements","Comparator
Pyrethroid-only ITNs","Intervention
Pyrethroid-
chlorfenapyr ITNs","Certainty of the
evidence
(Quality of evidence)",Summary
follow-up),(Randomized controlled),Difference:,"115 fewer per
1000
( CI 95% 147 fewer
— 78 fewer )",,
"Parasite
prevalence
(18-months
follow-up)","Relative risk 0.75
(CI 95% 0.7 — 0.85)
Based on data from 5,445
participants in 2 studies.
(Randomized controlled)","448
per 1000
Difference:","338
per 1000
112 fewer per
1000
( CI 95% 135 fewer
— 90 fewer )",High,
"Parasite
prevalence
(24-months
follow-up)","Relative risk 0.56
(CI 95% 0.5 — 0.63)
Based on data from 2,471
participants in 1 studies.
(Randomized controlled)","458
per 1000
Difference:","256
per 1000
201 fewer per
1000
( CI 95% 229 fewer
— 169 fewer )",High,
"1. Inconsistency: serious. Point estimates vary widely (from 0.49 to 0.87 with no overlap of confidence intervals). This
heterogeneity appears to be unexplained but important (chi2, p <0.0001, I2 = 98%). But may not impact on a recommendation for
the intervention. Indirectness: no serious. Imprecision: no serious. Publication bias: no serious.
References
60. Mosha JF, Kulkarni MA, Lukole E, Matowo NS, Pitt C, Messenger LA, et al. Effectiveness and cost-effectiveness against
malaria of three types of dual-active-ingredient long-lasting insecticidal nets (LLINs) compared with pyrethroid-only LLINs in
Tanzania: a four-arm, cluster-randomised trial. Lancet (London, England) 2022;399(10331):1227-1241 Pubmed Journal
62. Accrombessi M, Cook J, Dangbenon E, Yovogan B, Akpovi H, Sovi A, et al. Efficacy of pyriproxyfen-pyrethroid long-lasting
insecticidal nets (LLINs) and chlorfenapyr-pyrethroid LLINs compared with pyrethroid-only LLINs for malaria control in Benin: a
cluster-randomised, superiority trial. Lancet (London, England) 2023;401(10375):435-446 Pubmed Journal",,,,,
