"Clinical question/ PICO
Population: Adults and children with uncomplicated P. falciparum malaria in malaria transmission settings
Intervention: Artesunate-pyronaridine
Comparator: artemether-lumefantrine",Col1,Col2,Col3,Col4,Col5
"Outcome
Timeframe","Study results and
measurements","Comparator
AL","Intervention
ASPY","Certainty of the
evidence
(Quality of evidence)",Summary
"Total failure:
day 28 (PCR-
adjusted)","Relative risk 0.59
(CI 95% 0.26 — 1.31)
Based on data from
3,068 participants in 4
studies. 1 (Randomized
controlled)","15
per 1000
Difference:","9
per 1000
6 fewer per 1000
( CI 95% 11 fewer
— 5 more )","Low
Due to serious
indirectness, Due
to serious
imprecision.
Certainty of the
evidence grade
differs from the
2014 review
version due to
additional data:
the previous
review reported no
substantial
difference
between ASPY
and AL in
reference to this
outcome and
therefore did not
downgrade for
imprecision. In this
update we report a
reduced rate in the
ASPY arm.
Because we
concluded that
there may be a
difference, we
necessarily
downgraded for
the imprecision. 2","Compared to AL, ASPY
may have fewer PCR-
adjusted failures at day
28."
"Total failure:
day 42 (PCR-
adjusted)","Relative risk 0.86
(CI 95% 0.49 — 1.51)
Based on data from
2,575 participants in 4
studies. 3 (Randomized
controlled)","23
per 1000
Difference:","20
per 1000
3 fewer per 1000
( CI 95% 12 fewer
— 12 more )","Low
Due to serious
indirectness, Due
to serious
imprecision 4","There may be little or no
difference in PCR-
adjusted failures at day
42 between ASPY and
AL."
,,,,,
