Col0,Col1,Col2,Col3,Col4
"Outcome
Timeframe",Study results and measurements,"Comparator
Placebo","Intervention
Rectal artesunate","Certainty of the
evidence
(Quality of evidence)"
"All-cause mortality
7-30 days","Relative risk 2.21
(CI 95% 1.18 — 4.15)
Based on data from 4,018
participants in 1 studies.
(Randomized controlled)","7
per 1000
Difference:","15
per 1000
8 more per 1000
( CI 95% 1 more — 22
more )","Low
Due to serious
inconsistency and
serious imprecision 1"
"1. Risk of Bias: no serious. Allocation was concealed, and trial participants and staff were blinded to treatment allocation.
Inconsistency: serious. Rectal artesunate appears beneficial in children < 5 years and harmful in older children and adults.
This finding is difficult to explain. Indirectness: no serious. This trial was conducted in a single setting in Bangladesh.
Imprecision: serious. There were few deaths in adults in this trial: 31/2009 in treated and 14/2009 in controls.",,,,
