"Outcome
Timeframe","Study results and
measurements","Comparator
no MDA","Intervention
Mass drug
administration
(MDA)","Certainty of the
evidence
(Quality of evidence)",Summary
"Prevalence -
NRS","(CI 95% 0.15 — 0.78)
Based on data from 939
participants in 1 studies.
(Observational (non-
randomized))","per 1000
Difference:","per 1000
47 fewer per 1000
( CI 95% 60 fewer
— 16 fewer )","Due to very
serious risk of bias
8","uncertain about the effect
of MDA on the
prevalence of P. vivax
between 4-12 months"
"4-12 months -
Incidence of
parasitaemia-
NRS","Rate ratio 0.15
(CI 95% 0.07 — 0.34)
Based on data from
223,990 participants in 1
studies. (Observational
(non-randomized))","5
per 1000","1
per 1000","Very low
Due to very
serious risk of bias
9","The evidence is very
uncertain about the effect
of MDA on the incidence
of P. vivax parasitaemia
between 4-12 months"
"4-12 months -
Incidence of
clinical malaria","Rate ratio 1.38
(CI 95% 0.97 — 1.95)
Based on data from
3,325 participants in 1
studies. (Randomized
controlled)","41
per 1000","57
per 1000","Very low
Due to serious risk
of bias, Due to
serious
inconsistency, Due
to serious
imprecision 10","The evidence is very
uncertain about the effect
of MDA on the incidence
of P. vivax clinical malaria
between 4-12 months"
"4-12 months -
Incidence of
clinical malaria
- NRS","Rate ratio 0.72
(CI 95% 0.68 — 0.76)
Based on data from
11,300 participants in 1
studies. (Observational
(non-randomized))","156
per 1000","112
per 1000","Very low
Due to very
serious risk of bias
11","The evidence is very
uncertain about the effect
of MDA on P. vivax
clinical malaria between
4-12 months"
"12-24 months -
Prevalence","Relative risk 0.81
(CI 95% 0.44 — 1.48)
Based on data from 243
participants in 1 studies.
(Randomized controlled)","175
per 1000
Difference:","142
per 1000
33 fewer per 1000
( CI 95% 98 fewer
— 84 more )","Low
Due to serious risk
of bias, Due to
serious
imprecision 12","MDA may result in little to
no difference in P. vivax
prevalence between
12-24 months"
"12-24 months -
Incidence of
clinical malaria
- NRS","Rate ratio 0.04
(CI 95% 0.02 — 0.07)
Based on data from
11,300 participants in 1
studies. (Observational
(non-randomized))","156
per 1000","6
per 1000","Very low
Due to very
serious risk of bias
13","The evidence is very
uncertain about the effect
of MDA on the incidence
of P. vivax clinical malaria
between 12-24 months"
"0-3 Months -
serious adverse
events","Odds ratio 3.61
(CI 95% 0.43 — 30.03)
Based on data from
6,911 participants in 1
studies. (Randomized
controlled)","0.38
per 1000","1.39
per 1000","Moderate
Due to serious
imprecision 14","MDA probably results in
little to no difference in
serious adverse events
within 0-3 months"
"4-12 months -
serious adverse
events","Odds ratio 1.47
(CI 95% 0.68 — 3.2)
Based on data from","3
per 1000","5
per 1000","Moderate
Due to serious
imprecision 15","MDA probably results in
little to no difference in
serious adverse events"
,,,,,
