"Outcome
Timeframe","Study results and
measurements","Comparator
No screening","Intervention
Screening","Certainty of the
evidence
(Quality of evidence)",Summary
"caused by P.
falciparum","Based on data from
participants in 1 studies.
(Randomized controlled)
Follow up: 6 months.","per 1000
Difference:","per 1000
56 fewer per 1000
( CI 95% 75 fewer
— 21 fewer )","of bias, Due to
serious imprecision
1","falciparum malaria
incidence compared to no
screening."
"Malaria parasite
prevalence","Relative risk 0.84
(CI 95% 0.6 — 1.17)
Based on data from 713
participants in 1 studies. 2
(Randomized controlled)
Follow up: 1 year.","234
per 1000
Difference:","197
per 1000
37 fewer per 1000
( CI 95% 94 fewer
— 40 more )","Low
Due to serious
imprecision 3","Screening of houses may
result in little to no effect
on malaria parasite
prevalence compared to
no screening."
"Anaemia
(haemoglobin
conc <80g/L)
prevalence","Relative risk 0.61
(CI 95% 0.42 — 0.89)
Based on data from 705
participants in 1 studies. 4
(Randomized controlled)
Follow up: 1 year.","211
per 1000
Difference:","128
per 1000
82 fewer per 1000
( CI 95% 122 fewer
— 23 fewer )","Moderate
Due to serious
imprecision 5","Screening of houses
probably reduces
anaemia prevalence
compared to no house
screening."
"Entomological
Inoculation Rate
(EIR)","Based on data from
participants in 2 studies.
(Randomized controlled)
Follow up: range 6
months to 2 years.","In one study, the mean difference in EIR
between the control houses and
treatment houses ranged from 0.45 to
1.50 (CIs ranged from -0.46 to 2.41),
depending on the study year and
treatment arm; in a second study, there
was a mean difference in EIR of 4.57
(95% CI 3.81 to 5.33).",,"Low
Due to very serious
imprecision 6","Screening of houses may
reduce EIR compared to
no house screening."
"1. Risk of Bias: serious. Imprecision: serious.
2, 4. with included studies: Kirby 2009.
3, 5. Imprecision: serious.
6. Imprecision: very serious. the CIs around the mean estimates are very wide..",,,,,
