"Outcome
Timeframe","Study results and
measurements","Comparator
No malaria
vaccination","Intervention
Malaria vaccination","Certainty of the
evidence
(Quality of evidence)",Summary
"vs. control (age-
based
vaccination, low
to moderate
transmission) 19
Phase 3
randomized trial;
2021-ongoing
6 Important","Follow up: 12 months post
dose 3.",,"( CI 95% 3 fewer —
12 more )",,this study.
"Ratio of ratios:
incidence ratio
of hospital
admissions with
severe malaria in
age-eligible and
age-ineligible
children in
RTS,S/AS01
implementing
vs. comparison
areas (age-
based
vaccination) 22
Pilot
implementation
study 2019–2023
6 Important","0.78
(CI 95% 0.64 — 0.97)
Based on data from 58,114
participants in 1 studies. 23
Follow up: month 0 to
month 46.",,,"Moderate
Due to serious
imprecision 24","RTS,S/AS01 vaccine
introduction is probably
associated with a reduction
in incidence of hospital
admissions with severe
malaria."
"Protective
efficacy (%)
against
hospitalization
due to severe
malaria; RTS,S/
AS01 alone vs.
SMC alone
(seasonal
vaccination) 25
Phase 3b
randomized trial
2017–2020
6 Important","-0.4
(CI 95% -60.2 — 37.1)
Based on data from 3,953
participants in 1 studies. 26
(Randomized controlled)
Follow up: 3 years.","6.8
per 1000
Difference:","6.7
per 1000
0.1 fewer per 1000
( CI 95% 2 fewer —
2.4 more )","Low
Due to very serious
imprecision 27","There may be little or no
difference between RTS,S/
AS01 vaccination and
SMC in reducing
hospitalization with severe
malaria."
"Protective
efficacy (%)
against
hospitalization
due to severe
malaria; RTS,S/
AS01 + SMC
combination vs.
SMC alone
(seasonal
vaccination) 28
Phase 3b","70.5
(CI 95% 41.9 — 85)
Based on data from 3,932
participants in 1 studies. 29
(Randomized controlled)
Follow up: 3 years.","6.8
per 1000
Difference:","2
per 1000
4.8 fewer per 1000
( CI 95% 3.2 fewer
— 5.7 fewer )","Moderate
Due to serious
imprecision 30","The combination of RTS,S/
AS01 vaccination with
SMC may be superior to
SMC alone in reducing
hospitalization with severe
malaria."
,,,,,
