"Outcome
Timeframe","Study results and
measurements","Comparator
no space spraying","Intervention
Space spraying","Certainty of the
evidence
(Quality of evidence)",Summary
,"(Observational (non-
randomized))",,"( CI 95% 3 fewer
— 6 more )","indirectness, Due
to serious
imprecision 1",spraying.
"Malaria cases
per month
(Effect after 12
months
follow‐up)","Relative risk 0.85
(CI 95% 0.79 — 0.91)
Based on data from
participants in 1 studies.
(Observational (non-
randomized))","6
per 1000
Difference:","1
per 1000
5 fewer per 1000
( CI 95% 6 fewer
— 4 fewer )","Very low
Due to serious risk
of bias, Due to
serious
indirectness, Due
to serious
imprecision 2","The evidence is very
uncertain about the effect
of space spraying on
monthly malaria cases
after 12 months compared
to no space spraying."
"1, 2. Risk of Bias: serious. Indirectness: serious. Imprecision: serious.
References
103. Pryce J, Choi L, Richardson M, Malone D. Insecticide space spraying for preventing malaria transmission. The Cochrane
database of systematic reviews 2018;(11):CD012689 Pubmed Journal Website",,,,,
