"Outcome
Timeframe","Study results and
measurements","Comparator
No MDA","Intervention
MDA","Certainty of the
evidence
(Quality of evidence)",Summary
"Parasite
prevalence:
RCT, Pf, low/
very low
transmission
1–3 months post-
MDA
6 Important","Relative risk 0.25
(CI 95% 0.15 — 0.41)
Based on data from
6,511 participants in 8
studies. (Randomized
controlled)","24
per 1000
Difference:","6
per 1000
18 fewer per 1000
( CI 95% 20 fewer
— 14 fewer )","Moderate
Due to serious risk
of bias 23","MDA probably decreases
P. falciparum parasite
prevalence in low to very
low transmission areas
1–3 months post-MDA."
"Parasite
prevalence:
RCT, Pv
<1 month post-
MDA
6 Important","Relative risk 0.18
(CI 95% 0.08 — 0.4)
Based on data from 234
participants in 1 studies.
(Randomized controlled)","272
per 1000
Difference:","49
per 1000
223 fewer per
1000
( CI 95% 250
fewer — 163
fewer )","Moderate
Due to serious risk
of bias 24","MDA probably decreases
P. vivax parasite
prevalence <1 month
post-MDA."
"Parasite
prevalence:
RCT, Pf, low/
very low
transmission
4–12 months post-
MDA
6 Important","Relative risk 0.82
(CI 95% 0.56 — 1.22)
Based on data from
5,102 participants in 6
studies. (Randomized
controlled)","19
per 1000
Difference:","16
per 1000
3 fewer per 1000
( CI 95% 8 fewer
— 4 more )","Low
Due to serious risk
of bias, Due to
serious
inconsistency 25","MDA may decrease P.
falciparum parasite
prevalence in low to very
low transmission areas
4–12 months post-MDA."
"Parasite
prevalence:
RCT, Pv
1–3 months post-
MDA","Relative risk 0.15
(CI 95% 0.1 — 0.24)
Based on data from
2,672 participants in 5
studies. (Randomized
controlled)","133
per 1000
Difference:","20
per 1000
113 fewer per
1000
( CI 95% 119
fewer — 101
fewer )","Low
Due to serious risk
of bias, Due to
serious
inconsistency 26","MDA may decrease P.
vivax parasite prevalence
1–3 months post-MDA."
"Parasite
prevalence:
RCT, Pv
4-12 months post-
MDA
6 Important","Relative risk 1.01
(CI 95% 0.87 — 1.18)
Based on data from
6,255 participants in 5
studies. (Randomized
controlled)","96
per 1000
Difference:","97
per 1000
1 more per 1000
( CI 95% 12 fewer
— 17 more )","Low
Due to serious risk
of bias, Due to
serious
inconsistency 27","MDA may have little or
no effect on P. vivax
parasite prevalence 4–12
months post-MDA."
"Parasite
prevalence:
RCT, Pv
12–24 months
post-MDA
6 Important","Relative risk 0.81
(CI 95% 0.44 — 1.48)
Based on data from 243
participants in 1 studies.
(Randomized controlled)","175
per 1000
Difference:","142
per 1000
33 fewer per 1000
( CI 95% 98 fewer
— 84 more )","Low
Due to serious risk
of bias, Due to
serious
imprecision 28","MDA may have little or
no effect on P. vivax
parasite prevalence
12–24 months post-MDA."
,,,,,
