"Outcome
Timeframe","Study results and
measurements","Comparator
ACT","Intervention
ACT + primaquine","Certainty of the
evidence
(Quality of evidence)",Summary
"Mean
percentage
change in
haemoglobin
(Hb) 7","Based on data from 101
participants in 1 studies.
(Randomized controlled)",,,"Low
Due to very
serious
indirectness 8","ACT: 15% mean drop in
Hb from baseline in the
control group. ACT +
primaquine: Mean drop in
Hb from baseline in the
intervention groups was
3% lower (10% lower to
4% higher)."
"1, 3, 5. AUC estimates (log10 AUC for days 1–43) are included as footnotes for each dosing stratum.
2. Risk of Bias: no serious. Includes one trial with no risk of bias detected. Imprecision: very serious. One small trial with
CIs that include 50% reduction and no effect.
4. Risk of Bias: no serious. Includes one trial with no risk of bias detected. Indirectness: serious. This is a single trial in a
single setting. Imprecision: serious. A single trial with few events.
6. Indirectness: no serious. While there is marked quantitative heterogeneity, the studies with no demonstrable effect had
few events. Not downgraded.
7. One trial reported a relative decrease in haemoglobin against baseline in both groups on days 8, 15, 29 and 43 in all
participants irrespective of G6PD status. No difference at any time between participants receiving primaquine and those that
not did not. We present the data for day 43 in this table.
8. Indirectness: very serious. The percentage of people with large drops in haemoglobin, not the mean change in the
population, is the important safety outcome, and the estimates are averages in a small population (N = 99) that includes people
with normal G6PD function. The study is therefore unlikely to detect effects in a small subgroup with a relatively uncommon
adverse event.",,,,,
