"Summary
The systematic review [Barker et al unpublished evidence] included two RCTs, one from Benin [62] and one from the United
Republic of Tanzania [60] that compared the epidemiological impact against malaria of pyrethroid-chlorfenapyr ITNs
(alphacypermethrin-chlorfenapyr) against pyrethroid-only LLINs (alphacypermethrin). Both trials were conducted in areas of high
malaria transmission and pyrethroid‐resistance. The review provided high to moderate certainty evidence that incidence of clinical
malaria was lower in areas where pyrethroid-chlorfenapyr ITNs were deployed than in those with pyrethroid-only LLINs, at one and
two years after ITN deployment (one-year incidence rate ratio (IRR): 0.44; 95% CI: 0.37–0.52; two-year IRR: 0.57; 95% CI:
0.51–0.63). The review also provided high certainty evidence that prevalence of malaria infection was lower where pyrethroid-
chlorfenapyr ITNs were deployed than in those with pyrethroid-only LLINs, at several time points after ITN deployment (six-month
relative risk (RR): 0.50; 95% CI: 0.43–0.59; 12-month RR: 0.78; 95% CI: 0.72–0.85; 18-month RR: 075; 95% CI: 0.70–0.80;
24-month RR: 0.56; 95% CI: 0.50–0.63).",Col1,Col2,Col3,Col4,Col5
"Outcome
Timeframe","Study results and
measurements","Comparator
Pyrethroid-only ITNs","Intervention
Pyrethroid-
chlorfenapyr ITNs","Certainty of the
evidence
(Quality of evidence)",Summary
"Malaria case
incidence
(overall)","Rate ratio 0.72
(CI 95% 0.67 — 0.78)
Based on data from
61,183 participants in 2
studies. (Randomized
controlled)","678
per 1000
Difference:","487
per 1000
190 fewer per
1000
( CI 95% 224 fewer
— 149 fewer )","Moderate
Due to serious
inconsistency 1","2000-person years (2
RCTs) Length of time
observed: <1 month to 24
months Based on data
from at least 61,183
participants (1 study)
Absolute calculation
performed manually as
GRADEPro cannot
calculate using IRR"
"Malaria case
incidence
(1-year post-
intervention)","Rate ratio 0.44
(CI 95% 0.37 — 0.52)
Based on data from
61,183 participants in 2
studies. (Randomized
controlled)","487
per 1000
Difference:","213
per 1000
272 fewer per
1000
( CI 95% 307 fewer
— 234 fewer )",High,"2000-person years (2
RCTs) Length of time
observed: <1 month to 12
months Based on data
from at least 61,183
participants (1 study)
Absolute calculation
performed manually as
GRADEPro cannot
calculate using IRR"
"Malaria case
incidence
(2-years post-
intervention)","Rate ratio 0.57
(CI 95% 0.51 — 0.63)
Based on data from
61,183 participants in 2
studies.","815
per 1000
Difference:","465
per 1000
351 fewer per
1000
( CI 95% 400 fewer
— 302 fewer )",High,"2000 (2 RCTs) Length of
time observed: 12 months
to 24 months Based on
data from at least 61,183
participants (1 study)
Absolute calculation
performed manually as
GRADEPro cannot
calculate using IRR"
"Parasite
prevalence
(6-months
follow-up)","Relative risk 0.5
(CI 95% 0.43 — 0.59)
Based on data from 2,249
participants in 1 studies.
(Randomized controlled)","312
per 1000
Difference:","156
per 1000
156 fewer per
1000
( CI 95% 178 fewer
— 128 fewer )",High,
"Parasite
prevalence
(12-months","Relative risk 0.78
(CI 95% 0.72 — 0.85)
Based on data from 2,473
participants in 1 studies.","523
per 1000","409
per 1000",High,
,,,,,
