"Outcome
Timeframe","Study results and
measurements","Comparator
No intervention or
alternative medicines","Intervention
SMC","Certainty of the
evidence
(Quality of evidence)",Summary
"cycles, AS-AQ
7 Critical","participants in 1 studies.
(Randomized controlled)",,— 47 fewer ),,in children 6–15 years.
"Incidence of
severe malaria,
children <5
years, SP+AQ,
3–4 cycles
9 Critical","Rate ratio 0.57
(CI 95% 0.37 — 0.89)
Based on data from 2,000
participants in 3 studies.
(Randomized controlled)",Difference:,"14 fewer per 1000
( CI 95% 22 fewer
— 9 fewer )",High,"3–4 cycles of SMC with
SP+AQ decreases
incidence of severe
malaria in children <5
years."
"Incidence of
severe malaria,
children 5–9
years, SP+AQ,
3–4 cycles
9 Critical","Rate ratio 0.44
(CI 95% 0.23 — 0.84)
Based on data from 2,000
participants in 1 studies.
(Randomized controlled)",Difference:,"4 fewer per 1000
( CI 95% 8 fewer
— 2 fewer )","Moderate
Due to serious risk
of bias 9","3–4 cycles of SMC with
SP+AQ probably
decreases incidence of
severe malaria in children
5–9 years."
"Incidence of
severe malaria,
children <10
years
9 Critical","Rate ratio 0.53
(CI 95% 0.37 — 0.76)
Based on data from 2,000
participants in 4 studies.
(Randomized controlled)",Difference:,"11 fewer per 1000
( CI 95% 16 fewer
— 8 fewer )",High,"SMC decreases incidence
of severe malaria in
children <10 years."
"Incidence of all-
cause
hospitalization,
children <5
years, SP+AQ
moderate
transmission,
3–4 cycles
8 Critical","Rate ratio 1.38
(CI 95% 0.71 — 2.67)
Based on data from 2,000
participants in 2 studies.
(Randomized controlled)",Difference:,"8 more per 1000
( CI 95% 4 fewer
— 86 more )","Moderate
Due to serious
imprecision 10","3-4 cycles of SMC with
SP+AQ probably
increases incidence of all-
cause hospitalization in
children <5 years in
moderate transmission
settings."
"Incidence of all-
cause
hospitalization,
children <5
years, SP+AQ,
high
transmission,
3–4 cycles
8 Critical","Rate ratio 0.54
(CI 95% 0.31 — 0.94)
Based on data from 2,000
participants in 1 studies.
(Randomized controlled)",Difference:,"50 fewer per 1000
( CI 95% 87 fewer
— 29 fewer )",High,"3-4 cycles of SMC with
SP+AQ reduces incidence
of all-cause hospitalization
in children <5 years in
high transmission
settings."
"Incidence of all-
cause","Rate ratio 0.42
(CI 95% 0.2 — 0.87)",Difference:,23 fewer per 1000,High,"5–6 cycles of SMC with
AS-AQ reduces incidence"
,,,,,
