"Outcome
Timeframe","Study results and
measurements","Comparator
Pyrethroid-only
LLINs","Intervention
Pyrethroid-PBO ITNs","Certainty of the
evidence
(Quality of evidence)",Summary
"Parasite
prevalence - 9 to
12 months","Odds ratio 0.72
(CI 95% 0.61 — 0.86)
Based on data from
11,370 participants in 2
studies. (Randomized
controlled)","224
per 1000
Difference:","172
per 1000
52 fewer per 1000
( CI 95% 74 fewer
— 25 fewer )","Moderate
Due to serious
inconsistency 1","Pyrethroid‐PBO ITNs
probably reduce malaria
parasite prevalence in
areas of high insecticide
resistance at 9‐ to
12‐month follow‐up
compared to pyrethroid-
only LLINs."
"Parasite
prevalence - 16
to 18 months","Odds ratio 0.88
(CI 95% 0.74 — 1.04)
Based on data from
11,822 participants in 2
studies. (Randomized
controlled)","248
per 1000
Difference:","225
per 1000
23 fewer per 1000
( CI 95% 52 fewer
— 7 more )","Moderate
Due to serious
inconsistency 2","Pyrethroid‐PBO ITNs
probably reduce malaria
parasite prevalence in
areas of high insecticide
resistance at 16‐ to
18‐month follow‐up
compared to pyrethroid-
only LLINs."
"Parasite
prevalence - 21
to 25 months","Odds ratio 0.79
(CI 95% 0.67 — 0.95)
Based on data from
10,603 participants in 2
studies. (Randomized
controlled)","350
per 1000
Difference:","298
per 1000
52 fewer per 1000
( CI 95% 85 fewer
— 12 fewer )","Moderate
Due to serious
inconsistency 3","Pyrethroid‐PBO ITNs
probably reduce malaria
parasite prevalence in
areas of high insecticide
resistance at 21‐ to
25‐month follow‐up
compared to pyrethroid-
only LLINs."
"1, 2, 3. Inconsistency: serious. Indirectness: no serious. Imprecision: no serious. Publication bias: no serious.
References
57. Gleave K, Lissenden N, Richardson M, Choi L, Ranson H. Piperonyl butoxide (PBO) combined with pyrethroids in insecticide-
treated nets to prevent malaria in Africa. The Cochrane Database of Systematic Reviews 2021;5:CD012776 Pubmed Journal",,,,,
