"Outcome
Timeframe","Study results and
measurements","Comparator
no MDA","Intervention
Mass drug
administration
(MDA)","Certainty of the
evidence
(Quality of evidence)",Summary
,"1,497 participants in 1
studies. (Randomized
controlled)",Difference:,"87 more per 1000
( CI 95% 53 fewer
— 271 more )",imprecision 5,between 4-12 months
"4- 12 months -
Prevalence
(NRS)","Relative risk 0.6
(CI 95% 0.55 — 0.67)
Based on data from
3,154 participants in 1
studies. (Observational
(non-randomized))","418
per 1000
Difference:","251
per 1000
167 fewer per
1000
( CI 95% 188
fewer — 138
fewer )",Low,"MDA may reduce the
prevalence of P.
falciparum between 4-12
months"
"4-12 months -
Incidence of
parasitaemia","Rate ratio 0.91
(CI 95% 0.55 — 1.5)
Based on data from 517
participants in 1 studies.
(Randomized controlled)","108
per 1000","98
per 1000","Very low
Due to serious risk
of bias 6","The evidence is very
uncertain about the effect
of MDA on the incidence
of P. falciparum
parasitaemia between
4-12 months"
"12-24 months -
Prevalence
(NRS)","Relative risk 0.77
(CI 95% 0.7 — 0.84)
Based on data from
3,261 participants in 1
studies. (Observational
(non-randomized))","431
per 1000
Difference:","332
per 1000
99 fewer per 1000
( CI 95% 129
fewer — 69 fewer
)",Low,"MDA may reduce P.
falciparum prevalence
between 12-24 months"
Adverse events,"Odds ratio 3.25
(CI 95% 0.68 — 15.53)
Based on data from 90
participants in 1 studies.
(Randomized controlled)","133
per 1000
Difference:","333
per 1000
200 more per
1000
( CI 95% 39 fewer
— 572 more )","Very low
Due to very
serious
inconsistency 7","The evidence is very
uncertain about the effect
of MDA on adverse
events"
"AEs among
people who
received MDA","Based on data from
336,821 participants in 1
studies. (Randomized
controlled)",,"2
per 1000",8,"The evidence is very
uncertain about the effect
of MDA on adverse
events"
"SAEs among
people who
received MDA","Based on data from
336,821 participants in 1
studies. (Randomized
controlled)",,"0.01
per 1000",9,"The evidence is very
uncertain about the effect
of MDA on adverse
events"
"1, 4, 5. Inconsistency: no serious. Indirectness: no serious. Imprecision: very serious. Wide confidence intervals
including both no effect and appreciable benefit/ risk. Publication bias: no serious.
2. Risk of Bias: serious. High risk of bias in all included studies. Inconsistency: no serious. Indirectness: no serious.
Imprecision: no serious. Publication bias: no serious.",,,,,
