"Clinical question/ PICO
Population: Adults and children living in areas with ongoing malaria transmission
Intervention: Space spraying
Comparator: no space spraying
Summary
The review included a single interrupted time series study from India that reported the monthly incidence of malaria over a
four‐year period, with at least one year prior and at least two years post‐intervention.
It is not known if space spraying causes a step change in malaria incidence (1.00, 95% CI 0.51 to 1.92, 1 study, very low‐certainty
evidence).
It is not known if space spraying causes a change in the slope of malaria incidence over time (risk ratio 0.85, 95% CI 0.79 to 0.91,
1 study, very low‐certainty evidence).",Col1,Col2,Col3,Col4,Col5
"Outcome
Timeframe","Study results and
measurements","Comparator
no space spraying","Intervention
Space spraying","Certainty of the
evidence
(Quality of evidence)",Summary
"Malaria cases
per month
(Instant effect)","Relative risk 1
(CI 95% 0.51 — 1.92)
Based on data from
participants in 1 studies.","6
per 1000
Difference:","6
per 1000
0 more per 1000","Very low
Due to serious risk
of bias, Due to
serious","The evidence is very
uncertain about the effect
of space spraying on
monthly malaria cases
compared to no space"
,,,,,
