"Outcome
Timeframe","Study results and
measurements","Comparator
Pyrethroid-only nets
for prevention of
malaria","Intervention
Pyrethroid-
pyriproxyfen nets for
prevention of malaria","Certainty of the
evidence
(Quality of evidence)",Summary
"Malaria case
incidence
(1-year post-
intervention)","Rate ratio 0.66
(CI 95% 0.47 — 0.85)
Based on data from
61,183 participants in 2
studies. (Randomized
controlled)","487
per 1000
Difference:","393
per 1000
166 fewer per
1000
( CI 95% 258 fewer
— 73 fewer )",High,"2000 person-years; (2
RCTs); Length of time
observed: < 1 month to 12
months; Based on data
from at least 61 183
participants (1 study);
Absolute calculation
performed manually as
GRADEPro cannot
calculate using IRR."
"Malaria case
incidence
(2-year post-
intervention)","Rate ratio 0.94
(CI 95% 0.75 — 1.17)
Based on data from
61,183 participants in 2
studies. (Randomized
controlled)","815
per 1000
Difference:","715
per 1000
49 fewer per 1000
( CI 95% 204 fewer
— 138 more )",Moderate,"2000 (2 RCTs); Length of
time observed: 12 months
to 24 months; Based on
data from at least 61,183
participants (1 study);
Absolute calculation
performed manually as
GRADEPro cannot
calculate using IRR."
"Parasite
prevalence
(6-months
follow-up)","Relative risk 0.92
(CI 95% 0.63 — 1.34)
Based on data from 2,934
participants in 1 studies.
(Randomized controlled)","280
per 1000
Difference:","269
per 1000
22 fewer per 1000
( CI 95% 104 fewer
— 95 more )","Moderate
Due to serious
imprecision 1",
"Parasite
prevalence
(12-months
follow-up)","Relative risk 0.69
(CI 95% 0.46 — 1.04)
Based on data from 2,192
participants in 1 studies.
(Randomized controlled)","312
per 1000
Difference:","217
per 1000
93 fewer per 1000
( CI 95% 168 fewer
— 12 more )",Moderate,
"Parasite
prevalence
(18-months
follow-up)","Relative risk 0.97
(CI 95% 0.76 — 1.26)
Based on data from 5,337
participants in 2 studies.
(Randomized controlled)","448
per 1000
Difference:","438
per 1000
13 fewer per 1000
( CI 95% 108 fewer
— 116 more )","Low
Due to serious
imprecision 2",
"Parasite
prevalence
(24-months
follow-up)","Relative risk 0.77
(CI 95% 0.54 — 1.16)
Based on data from 2,457
participants in 1 studies.
(Randomized controlled)","458
per 1000
Difference:","375
per 1000
105 fewer per
1000
( CI 95% 192 fewer
— 13 more )",Moderate,
"1. Inconsistency: no serious. Indirectness: no serious. Imprecision: serious. Confidence intervals are wide (from 42 fewer to
22 more) and may have crossed many important decision-making thresholds (including line of no effect). Publication bias: no
serious.
2. Inconsistency: no serious. Indirectness: no serious. Imprecision: serious. Confidence intervals are wide (from 36 fewer to",,,,,
