"Outcome
Timeframe","Study results and
measurements","Comparator
no MDA","Intervention
Mass drug
administration
(MDA)","Certainty of the
evidence
(Quality of evidence)",Summary
"SAEs among
people who
received MDA","Based on data from
353,143 participants in 4
studies. (Randomized
controlled)",,"0.03
per 1000",12,
"1-3 months -
Drug resistance
markers
(PfKelch13)
among people
who were Pf
positive","Relative risk 0.82
(CI 95% 0.45 — 1.51)
Based on data from 63
participants in 1 studies.
(Randomized controlled)","608
per 1000
Difference:","498
per 1000
109 fewer per
1000
( CI 95% 334
fewer — 310 more
)","Very low
Due to serious risk
of bias 13","The evidence is very
uncertain about the effect
of MDA on artemisinin
resistance markers
(PfKelch13) among P.
falciparum infections
between 1-3 months"
"1-3 months -
Drug resistance
markers
(PfKelch13)
among all
samples","Relative risk 0.13
(CI 95% 0.05 — 0.3)
Based on data from
1,232 participants in 1
studies. (Randomized
controlled)","64
per 1000
Difference:","8
per 1000
56 fewer per 1000
( CI 95% 61 fewer
— 45 fewer )","Low
Due to serious risk
of bias, and
serious
imprecision 14","MDA may reduce the
proportion of drug
resistance markers
(PfKelch13) among all
samples between 1-3
months"
"4-12 months -
Drug resistance
markers
(PfKelch13)
among people
who were Pf
positive","Relative risk 1.16
(CI 95% 0.83 — 1.61)
Based on data from 75
participants in 1 studies.
(Randomized controlled)","610
per 1000
Difference:","707
per 1000
98 more per 1000
( CI 95% 104
fewer — 372 more
)","Very low
Due to serious risk
of bias 15","The evidence is very
uncertain about the effect
of MDA on artemisinin
resistance markers
(PfKelch13) among P.
falciparum infections
between 4-12 months"
"4-12 months -
Drug resistance
markers
(PfKelch13)
among all
samples","Relative risk 0.49
(CI 95% 0.28 — 0.85)
Based on data from
2,595 participants in 1
studies. (Randomized
controlled)","29
per 1000
Difference:","14
per 1000
15 fewer per 1000
( CI 95% 21 fewer
— 4 fewer )","Low
Due to serious risk
of bias, and
serious
imprecision 16","MDA may reduce the
proportion of drug
resistance markers
(PfKelch13) among all
samples between 4-12
months"
"12-24 months -
Drug resistance
markers
(PfKelch13)
among people
who were Pf
positive","Relative risk 1.07
(CI 95% 0.82 — 1.4)
Based on data from 78
participants in 1 studies.
(Randomized controlled)","714
per 1000
Difference:","764
per 1000
50 more per 1000
( CI 95% 129
fewer — 286 more
)","Very low
Due to serious risk
of bias 17","The evidence is very
uncertain about the effect
of MDA on artemisinin
resistance markers
(PfKelch13) among P.
falciparum infections
between 12-24 months"
,,,,,
