"Clinical question/ PICO
Population: Adults and children in delimited geographical area with very low to low transmission of P. falciparum
Intervention: Mass drug administration (MDA)
Comparator: no MDA
Summary
The systematic review identified eight cRCTs in very low to low transmission settings of six countries (Cambodia, Lao People’s
Democratic Republic, Myanmar, United Republic of Tanzania, Viet Nam and Zambia) assessing the impact of MDA on P.
falciparum prevalence or incidence compared to no MDA (Schneider et al unpublished evidence). Two studies used DP alone;
five studies used DP plus single low-dose primaquine; and one study used sulfadoxine-pyrimethamine/artesunate (SP+AS)
plus a single dose of primaquine at 0.75 mg/kg. Most (5) studies conducted three rounds of MDA within one year; one study
conducted four rounds of MDA over 15 months; one study conducted two rounds and one study conducted one round of MDA
over a one-year period.
Meta-analyses of the results showed reductions in prevalence and incidence of P. falciparum infection, but not clinical disease,
1–3 months after the last round of MDA. Multiple studies evaluated these outcomes at longer time periods but either no impact
was found or the evidence was of very low certainty. Adverse events were often not measured in both arms, which complicated
interpretation of the findings, but reported rates of adverse events or serious adverse events were low. Markers of artemisinin
resistance were measured in only one study, which found no evidence of increases in drug-resistant parasites.",Col1,Col2,Col3,Col4,Col5
"Outcome
Timeframe","Study results and
measurements","Comparator
no MDA","Intervention
Mass drug
administration
(MDA)","Certainty of the
evidence
(Quality of evidence)",Summary
"1-3 months -
Incidence of
clinical malaria","Rate ratio 0.58
(CI 95% 0.12 — 2.73)
Based on data from
130,651 participants in 2
studies. (Randomized
controlled)","6
per 1000","4
per 1000","Low
Due to very
serious
imprecision 1","MDA may result in little to
no difference in the
incidence of P. falciparum
clinical malaria between
1-3 months"
"1-3 months -
Prevalence","Relative risk 0.25
(CI 95% 0.15 — 0.41)
Based on data from
6,511 participants in 8
studies. (Randomized
controlled)","24
per 1000
Difference:","6
per 1000
18 fewer per 1000
( CI 95% 20 fewer
— 14 fewer )","Moderate
Due to serious risk
of bias 2","MDA probably reduces P.
falciparum prevalence
between 1-3 months"
"4-12 months -
Prevalence","Relative risk 0.82
(CI 95% 0.56 — 1.22)
Based on data from
5,102 participants in 6
studies. (Randomized
controlled)","19
per 1000
Difference:","16
per 1000
3 fewer per 1000
( CI 95% 8 fewer
— 4 more )","Low
Due to serious risk
of bias, and
serious
inconsistency 3","MDA may result in little to
no difference in P.
falciparum prevalence
between 4-12 months"
"1-3 months -
Incidence of
parasitaemia","Rate ratio 0.37
(CI 95% 0.21 — 0.66)
Based on data from 811
participants in 1 studies.
(Randomized controlled)","12
per 1000","5
per 1000","Moderate
Due to serious risk
of bias 4","MDA probably reduces
the incidence of P.
falciparum parasitaemia
between 1-3 months"
,,,,,
