"Outcome
Timeframe","Study results and
measurements","Comparator
No intervention or
alternative medicines","Intervention
SMC","Certainty of the
evidence
(Quality of evidence)",Summary
"5–6 cycles
6 Important",(Randomized controlled),,,bias 16,"mortality in children 5–9
years."
"Parasite
prevalence,
children <5
years (various
regimens)
4 Important","Relative risk 0.38
(CI 95% 0.34 — 0.43)
Based on data from 200
participants in 9 studies.
(Randomized controlled)","221
per 1000
Difference:","84
per 1000
137 fewer per
1000
( CI 95% 146 fewer
— 126 fewer )","Moderate
Due to serious
inconsistency 17","SMC probably reduces
parasite prevalence in
children <5 years."
"Parasite
prevalence,
children <5
years, SP+AQ,
3–4 cycles
4 Important","Relative risk 0.28
(CI 95% 0.24 — 0.32)
Based on data from 200
participants in 4 studies.
(Randomized controlled)","159
per 1000
Difference:","45
per 1000
114 fewer per
1000
( CI 95% 121 fewer
— 108 fewer )",High,"3–4 cycles of SMC with
SP+AQ reduces parasite
prevalence in children <5
years."
"Parasite
prevalence,
children <5
years, SP+AQ,
5–6 cycles
4 Important","Relative risk 0.55
(CI 95% 0.43 — 0.7)
Based on data from 200
participants in 2 studies.
(Randomized controlled)","192
per 1000
Difference:","106
per 1000
86 fewer per 1000
( CI 95% 109 fewer
— 58 fewer )","Moderate
Due to serious
inconsistency 18","5–6 cycles of SMC with
SP+AQ probably reduces
parasite prevalence in
children <5 years."
"Parasite
prevalence,
children <5
years, AS-AQ,
3–4 cycles
4 Important","Relative risk 0.67
(CI 95% 0.53 — 0.85)
Based on data from 200
participants in 1 studies.
(Randomized controlled)","412
per 1000
Difference:","276
per 1000
136 fewer per
1000
( CI 95% 194 fewer
— 62 fewer )","Moderate
Due to serious risk
of bias 19","3–4 cycles of SMC with
AS-AQ probably reduces
parasite prevalence in
children <5 years."
"Parasite
prevalence,
children <5
years, SP+AS,
3–4 cycles
4 Important","Relative risk 0.32
(CI 95% 0.15 — 0.67)
Based on data from 200
participants in 1 studies.
(Randomized controlled)","370
per 1000
Difference:","118
per 1000
252 fewer per
1000
( CI 95% 314 fewer
— 122 fewer )","Low
Due to very serious
imprecision 20","3–4 cycles of SMC with
SP+AS may reduce
parasite prevalence in
children <5 years."
"Parasite
prevalence,
children <5
years, AS-AQ,
5–6 cycles","Relative risk 0.24
(CI 95% 0.16 — 0.36)
Based on data from 200
participants in 1 studies.
(Randomized controlled)","196
per 1000
Difference:","47
per 1000
149 fewer per
1000
( CI 95% 165 fewer",High,"5–6 cycles of SMC with
AS-AQ reduces parasite
prevalence in children <5
years."
,,,,,
