"Clinical question/ PICO
Population: Treating malaria in pregnancy during their first trimester in prospective cohort studies
Intervention: artemisinin derivatives
Comparator: antimalarial not including artemisinin derivative and recommended in the first trimester",Col1,Col2,Col3,Col4,Col5
"Outcome
Timeframe","Study results and
measurements","Comparator
antimalarial not
including
artemisinin
derivative and
recommende","Intervention
artemisinin
derivatives","Certainty of the
evidence
(Quality of
evidence)",Summary
Composite,"Relative risk 0.71
(CI 95% 0.49 — 1.03)
Based on data from
1,810 participants in 12
studies. (Observational
(non-randomized))","89
per 1000
Difference:","64
per 1000
25 fewer per
1000
( CI 95% 45 fewer
— 3 more )",Low,"ABT may reduce
adverse fetal events"
,,,,,
