"Clinical question/ PICO
Population: Refugees and IDP adults and children affected by humanitarian emergencies living in areas with ongoing malaria
transmission
Intervention: Indoor residual spraying
Comparator: No indoor residual spraying
Summary
Of the four included IRS studies, one was a cluster RCT at the village-level and three were observational studies (one controlled
before-after, one before-after and one cross-sectional). The cRCT was conducted in Sudan and the three observational studies
were undertaken in Pakistan.
IRS versus no IRS:
The evidence is very uncertain about the effect of IRS on P. falciparum incidence compared to no IRS
(Incidence rate ratio: 0.57; 95% CI: 0.53–0.61; one before-after study; very low-certainty evidence)
IRS may result in little to no difference in P. falciparum prevalence compared to no IRS
(Rate ratio: 1.31; 95% CI: 0.91–1.88; one cRCT; low-certainty evidence)
The evidence is very uncertain about the effect of IRS on P. vivax incidence compared to no IRS
(Incidence rate ratio: 0.51; 95% CI: 0.49–0.52; one before-after study; very low-certainty evidence)
The evidence is very uncertain about the effect of IRS on P. vivax prevalence compared to no IRS
(Odds ratio: 0.74; 95% CI: 0.25–2.14; one controlled before-after study and one cross-sectional study; very low-certainty evidence)",Col1,Col2,Col3,Col4,Col5
"Outcome
Timeframe","Study results and
measurements","Comparator
no IRS","Intervention
IRS","Certainty of the
evidence
(Quality of evidence)",Summary
"P. falciparum
incidence","Relative risk 0.57
(CI 95% 0.53 — 0.61)
Based on data from
480,377 participants in 1
studies.","7
per 1000
Difference:","4
per 1000
3 fewer per 1000
( CI 95% 3 fewer
— 3 fewer )",Very low,"The evidence is very
uncertain about the effect
of IRS on P. falciparum
incidence compared to no
IRS."
"P. falciparum
prevalence","Relative risk 1.31
(CI 95% 0.91 — 1.88)
Based on data from 278","257
per 1000","337
per 1000","Low
Due to very serious
imprecision.","IRS may result in little to
no difference in P.
falciparum prevalence
compared to no IRS."
,,,,,
