"Outcome
Timeframe","Study results and
measurements","Comparator
no Reactive IRS","Intervention
Reactive indoor
residual spraying","Certainty of the
evidence
(Quality of evidence)",Summary
"clinical malaria
(non-inferiority
design)
6 Important","Based on data from 0
participants in 1 studies.
(Randomized controlled)","(Mean)
Difference:","(Mean)
MD 0.1 higher
( CI 95% 0.38
lower — 0.59
higher )","Due to serious
indirectness 2","difference in incidence of
clinical malaria compared
with standard IRS"
"Adverse Events
5 Important","Based on data from 0
participants in 2 studies.
(Randomized controlled)","One study (Hsiang 2020) reported
adverse events among persons
receiving reactive IRS versus those not
receiving reactive IRS. A total of 23
adverse events were reported among 18
participants. In the the reactive IRS arm,
6/4579 participants (0.13%) reported an
adverse event compared to 12/4369
participants (0.27%) in the arm that
received reactive case detection alone.
None of the adverse events were
considered related to IRS. In the study
by Bath 2021, comparing reactive IRS
versus standard IRS over two years, 9
deaths due to malaria were reported in
the reactive IRS arm out of a population
of 204,237. In the standard IRS arm, a
total of 12 malaria deaths were reported
out of a population of 189,150.",,High,
"1. Inconsistency: no serious. Indirectness: no serious. Imprecision: serious. Confidence interval of adjusted estimate
overlaps 1. Publication bias: no serious.
2. Inconsistency: no serious. Indirectness: serious. Study was designed as a non-inferiority study compared to standard IRS.
Imprecision: no serious. Publication bias: no serious.",,,,,
