"Outcome
Timeframe","Study results and
measurements","Comparator
No nets or curtains","Intervention
Pyrethroid-treated
nets or curtains","Certainty of the
evidence
(Quality of evidence)",Summary
,,,,,
"Severe malaria
episodes","Relative risk 0.56
(CI 95% 0.38 — 0.82)
Based on data from
31,173 participants in 2
studies. (Randomized
controlled)","15
per 1000
Difference:","8
per 1000
7 fewer per 1000
( CI 95% 9 fewer
— 3 fewer )",High,"Pyrethroid-only nets or
curtains reduce the
incidence of severe
malaria episodes
compared to no nets or
curtains."
"1, 2. Inconsistency: no serious. Indirectness: serious. Imprecision: no serious. Publication bias: no serious.
3. Inconsistency: no serious. Indirectness: serious. Imprecision: serious. Publication bias: no serious.
4. Inconsistency: no serious. Indirectness: very serious. Imprecision: no serious. Publication bias: no serious.
References
56. Pryce J, Richardson M, Lengeler C. Insecticide‐treated nets for preventing malaria. Cochrane Database of Systematic Reviews
2018.(11) Pubmed Journal Website",,,,,
