"Outcome
Timeframe","Study results and
measurements","Comparator
Artesunate 1 day
plus sulfadoxine-
pyrimethamine","Intervention
Artesunate 3 days
plus sulfadoxine-
pyrimethamine","Certainty of the
evidence
(Quality of
evidence)",Summary
,"1,260 participants in 4
studies. (Randomized
controlled)",Difference:,"5 fewer per 1000
( CI 95% 8 fewer
— 1 fewer )",,
"Gametocytaem
ia
14 days","Relative risk 0.8
(CI 95% 0.57 — 1.14)
Based on data from
1,199 participants in 4
studies. (Randomized
controlled)","11
per 1000
Difference:","9
per 1000
2 fewer per 1000
( CI 95% 5 fewer
— 2 more )","High
5","*Corresponding risk
calculated is different
than what is reported in
WHO document*"
"Gametocytaem
ia
28 days","Relative risk 0.36
(CI 95% 0.14 — 0.92)
Based on data from 898
participants in 4 studies.
(Randomized controlled)","3
per 1000
Difference:","1
per 1000
2 fewer per 1000
( CI 95% 3 fewer
— 0 fewer )","Moderate
Due to serious
imprecision 6",
"1, 2, 3, 4. Inconsistency: no serious. All four studies found reductions with 3 days of artesunate, although there was
some variation in the size of this effect. Indirectness: no serious. The four trials were conducted in children with
uncomplicated P. falciparum malaria in the Gambia, Kenya, Malawi and Uganda. The same screening methods and
inclusion criteria were used. Sulfadoxine–pyrimethamine was the partner antimalarial drug in all four trials. Resistance to
sulfadoxine–pyrimethamine was noted at three study sites, parasitological failure with sulfadoxine–pyrimethamine alone
being seen in 10–13% of participants in the Gambia, 27% in Kenya and 25% in Uganda. Imprecision: no serious. The
confidence intervals are narrow, and the intervals comprise clinically important effects. No serious imprecision: The
confidence intervals are narrow and do not include no effect.
5. Inconsistency: no serious. All four studies found reductions with 3 days of artesunate, although there was some
variation in the size of this effect. Imprecision: no serious. The confidence intervals are narrow, and the intervals
comprise clinically important effects. No serious imprecision: The confidence intervals are narrow and do not include no
effect.
6. Inconsistency: no serious. All four studies found reductions with 3 days of artesunate, although there was some
variation in the size of this effect. Imprecision: serious. The confidence intervals are narrow, and the intervals comprise
clinically important effects. Downgraded by 1 for serious imprecision: As gametocytaemia at this time was rare in both
groups, the studies have inadequate power to confidently detect important differences.",,,,,
