"Outcome
Timeframe","Study results and
measurements","Comparator
No intervention or
alternative medicines","Intervention
SMC","Certainty of the
evidence
(Quality of evidence)",Summary
"3–4 cycles, low
transmission
2 Not Important",,,"( CI 95% 35 fewer
— 13 more )",,
"Moderate
anaemia in
children <5
years, AS-AQ,
5–6 cycles
2 Not Important","Relative risk 0.91
(CI 95% 0.64 — 1.3)
Based on data from 200
participants in 1 studies.
(Randomized controlled)","102
per 1000
Difference:","93
per 1000
9 fewer per 1000
( CI 95% 37 fewer
— 31 more )",High,"5–6 cycles of SMC with
AS-AQ reduces moderate
anaemia in children <5
years."
"Adverse events,
children up to
15 years,
various
regimens, 3–4
cycles, active
surveillance
5 Important","Relative risk 1.4
(CI 95% 1.31 — 1.51)
Based on data from
18,042 participants in 4
studies. (Randomized
controlled)","114
per 1000
Difference:","160
per 1000
46 more per 1000
( CI 95% 35 more
— 58 more )",High,"SMC increases adverse
events in children up to 15
years."
"1, 2. Inconsistency: serious. The magnitude of statistical heterogeneity was high, with I-squared > 50%.. Indirectness: no
serious. Imprecision: no serious. Publication bias: no serious.
3, 17, 18, 21, 22, 24. Inconsistency: serious. I-squared > 50%. Indirectness: no serious. Imprecision: no serious.
Publication bias: no serious.
4. Risk of Bias: serious. Randomization was imbalanced. Inconsistency: serious. The magnitude of statistical heterogeneity
was high, with I-squared: > 50%. Indirectness: no serious. Imprecision: no serious. Publication bias: no serious.
5. Risk of Bias: serious. Imbalanced randomization. Inconsistency: no serious. Indirectness: no serious. Imprecision: no
serious. Publication bias: no serious.
6, 7. Risk of Bias: serious. Inadequate/lack of blinding of outcome assessors, resulting in potential for detection bias.
Inconsistency: no serious. Indirectness: no serious. Imprecision: no serious. Publication bias: no serious.
8. Risk of Bias: very serious. Inadequate/lack of blinding of outcome assessors, resulting in potential for detection bias.
Inconsistency: no serious. Indirectness: no serious. Imprecision: no serious. Publication bias: no serious.
9. Risk of Bias: serious. Outcome evaluated by health system staff aware of study arm. Inconsistency: no serious.
Indirectness: no serious. Imprecision: no serious. Publication bias: no serious.
10. Inconsistency: no serious. Indirectness: no serious. Imprecision: serious. Wide CIs. Publication bias: no serious.
11. Inconsistency: serious. I-squared > 50%. Indirectness: no serious. Imprecision: serious. Wide range of effect sizes.
Publication bias: no serious.
12. Inconsistency: serious. Wide range of effect sizes. Indirectness: no serious. Imprecision: serious. Wide CIs. Publication
bias: no serious.
13. Risk of Bias: very serious. Extra method of finding deaths in intervention arm. Selective outcome reporting. Inconsistency:
no serious. Indirectness: no serious. Imprecision: serious. Wide CIs. Publication bias: no serious.
14. Inconsistency: no serious. Indirectness: no serious. Imprecision: serious. Wide CIs. Only data from one study.
Publication bias: no serious.
15. Risk of Bias: serious. Outcome evaluated by health system staff aware of study arm. Inconsistency: no serious.
Indirectness: no serious. Imprecision: serious. Wide CIs. Publication bias: no serious.
16. Risk of Bias: very serious. Extra method of finding deaths in intervention arm. Inconsistency: no serious. Indirectness: no
serious. Imprecision: serious. Wide CIs. Publication bias: no serious.
19. Risk of Bias: serious. High loss to follow-up, much higher in control arm. Inconsistency: no serious. Indirectness: no
serious. Imprecision: no serious. Publication bias: no serious.",,,,,
