"Outcome
Timeframe","Study results and
measurements","Comparator
No malaria
vaccination","Intervention
Malaria vaccination","Certainty of the
evidence
(Quality of evidence)",Summary
"Incidence rate
ratio of cerebral
malaria; RTS,S/
AS01 alone vs.
SMC alone vs.
RTS,S/AS01 +
SMC
combination 149
Phase 3b
randomized study
2017–2020
6 Important","Based on data from 5,920
participants in 1 studies.
150 (Randomized
controlled)
Follow up: 3 years.",,,"Low
Due to very serious
imprecision; very
few events and 0
events in the
control arm. 151","The combination of RTS,S
malaria vaccination with
SMC may result in little or
no difference in cerebral
malaria compared with
SMC alone."
"Incidence rate
ratio of cerebral
malaria; RTS,S/
AS01 vs. control
152
Phase 2b
randomized trial
2017–2018
6 Important","Rate ratio 0.33
(CI 95% 0.01 — 8.04)
Based on data from 591
participants in 1 studies.
153 (Randomized
controlled)
Follow up: month 0 to
month 20.","3
per 1000
Difference:","0
per 1000
2 fewer per 1000
( CI 95% 3 fewer —
24 more )","Low
Due to serious
imprecision; very
few events and 0
events in the
intervention arm 154","RTS,S/AS01 vaccination
may result in little or no
difference in cerebral
malaria."
"Incidence rate
ratio of cerebral
malaria; R21/
Matrix-M vs.
control 155
Phase 3
randomized trial
2021-ongoing
6 Important","Rate ratio 0.5
(CI 95% 0.03 — 8)
Based on data from 4,875
participants in 1 studies.
156 (Randomized
controlled)
Follow up: April 2021 - 31
March 2023.","0.6
per 1000
Difference:","0.3
per 1000
0 more per 1000
( CI 95% 1 fewer —
4 more )","Low
Due to serious
imprecision; very
few events 157","Too few events to
determine an association
between R21/Matrix-M
vaccination and cerebral
malaria."
"Female:male
rate ratio of all-
cause mortality;
3 or 4 doses
RTS,S/AS01 vs.
control 158
Post-hoc analysis
of Phase 3
randomized trial
2009–2014
6 Important","1.5
(CI 95% 1.03 — 2.08)
Based on data from 8,922
participants in 1 studies.
159
Follow up: month 0 to
study end (median 48
months).",,,"Low
Due to very serious
imprecision 160","RTS,S/AS01 vaccination
may be associated with a
higher mortality in girls
compared with boys."
"Female:male
rate ratio of all-
cause mortality;
RTS,S/AS01
alone vs. SMC
alone 161
Phase 3b
randomized study","Rate ratio 1.8
(CI 95% 0.56 — 5.79)
Based on data from 3,953
participants in 1 studies.
162 (Randomized
controlled)
Follow up: 3 years.",,,"Low
Due to very serious
imprecision 163","RTS,S/AS01 vaccination
may result in little to no
difference in all-cause
mortality between girls and
boys."
,,,,,
