"Outcome
Timeframe","Study results and
measurements","Comparator
No intervention or
alternative medicines","Intervention
SMC","Certainty of the
evidence
(Quality of evidence)",Summary
"hospitalization,
children <5
years, AS-AQ,
5–6 cycles
8 Critical","Based on data from 2,000
participants in 1 studies.
(Randomized controlled)",,"( CI 95% 48 fewer
— 11 fewer )",,"of all-cause hospitalization
in children <5 years."
"All-cause
mortality,
children <5
years (various
regimens)
6 Important","Rate ratio 0.89
(CI 95% 0.68 — 1.17)
Based on data from 2,000
participants in 6 studies.
(Randomized controlled)",Difference:,"8 fewer per 1000
( CI 95% 10 fewer
— 6 fewer )","Low
Due to serious
inconsistency, Due
to serious
imprecision 11","SMC may reduce all-
cause mortality in children
<5 years."
"All-cause
mortality,
children <5
years, SP+AQ,
3–4 cycles
6 Important","Rate ratio 0.86
(CI 95% 0.64 — 1.16)
Based on data from 2,000
participants in 4 studies.
(Randomized controlled)",Difference:,"7 fewer per 1000
( CI 95% 10 fewer
— 5 fewer )","Low
Due to serious
inconsistency, Due
to serious
imprecision 12","3–4 cycles of SMC with
SP+AQ may reduce all-
cause mortality in children
<5 years."
"All-cause
mortality,
children <5
years, SP+AQ,
5–6 cycles
6 Important","Rate ratio 1.06
(CI 95% 0.47 — 2.4)
Based on data from 2,000
participants in 1 studies.
(Randomized controlled)",Difference:,"2 fewer per 1000
( CI 95% 1 fewer
— 5 more )","Very low
Due to serious
imprecision, Due to
very serious risk of
bias 13","We are uncertain about
the effect of 5–6 cycles of
SMC with SP+AQ on all-
cause mortality in children
<5 years."
"All-cause
mortality,
children <5
years, AS-AQ,
5–6 cycles
6 Important","Rate ratio 1.04
(CI 95% 0.39 — 2.77)
Based on data from 2,000
participants in 1 studies.
(Randomized controlled)",Difference:,"18 fewer per 1000
( CI 95% 7 fewer
— 9 more )","Moderate
Due to serious
imprecision 14","5–6 cycles of SMC with
AS-AQ probably has little
or no difference on all-
cause mortality in children
<5 years."
"All-cause
mortality,
children 5–9
years, SP+AQ,
3–4 cycles
6 Important","Rate ratio 0.97
(CI 95% 0.6 — 1.57)
Based on data from 2,000
participants in 1 studies.
(Randomized controlled)",Difference:,"5 fewer per 1000
( CI 95% 4 fewer
— 2 more )","Low
Due to serious risk
of bias, Due to
serious imprecision
15","3–4 cycles of SMC with
SP+AQ may have little or
no difference on all-cause
mortality in children 5–9
years."
"All-cause
mortality,
children 5–9
years, SP+AQ,","Rate ratio 1.82
(CI 95% 0.16 — 20.24)
Based on data from 2,000
participants in 1 studies.",Difference:,"0 fewer per 1000
( CI 95% 0 fewer
— 4 more )","Very low
Due to serious
imprecision, Due to
very serious risk of","We are uncertain whether
5–6 cycles of SMC with
SP+AQ increases or
decreases all-cause"
,,,,,
