"Outcome
Timeframe","Study results and
measurements","Comparator
no MDA","Intervention
Mass drug
administration
(MDA)","Certainty of the
evidence
(Quality of evidence)",Summary
"4-12 months -
Incidence of
clinical malaria","Rate ratio 0.47
(CI 95% 0.21 — 1.03)
Based on data from
26,576 participants in 4
studies. (Randomized
controlled)","11
per 1000","5
per 1000","Very low
Due to serious risk
of bias, and
serious
imprecision 5","The evidence is very
uncertain about the effect
of MDA on the incidence
of P. falciparum clinical
malaria between 4-12
months"
"1-3 months -
Adverse events","Relative risk 3.25
(CI 95% 0.68 — 15.53)
Based on data from 90
participants in 1 studies.
(Randomized controlled)","133
per 1000
Difference:","433
per 1000
300 more per
1000
( CI 95% 43 fewer
— 1,000 more )","Very low
Due to serious
indirectness 6","The evidence is very
uncertain about the effect
of MDA on adverse
events between 1-3
months"
"12-24 months -
Prevalence","Relative risk 0.34
(CI 95% 0.06 — 1.97)
Based on data from
1,390 participants in 1
studies. (Randomized
controlled)","32
per 1000
Difference:","11
per 1000
21 fewer per 1000
( CI 95% 30 fewer
— 31 more )","Very low
Due to serious risk
of bias, and
serious
indirectness 7","The evidence is very
uncertain about the effect
of MDA on the
prevalence of P.
falciparum clinical
malaria between 12-24
months"
"12-24 months -
Incidence of
clinical malaria","Rate ratio 0.77
(CI 95% 0.2 — 3.03)
Based on data from
23,251 participants in 1
studies. (Randomized
controlled)","17
per 1000","13
per 1000","Low
Due to very
serious
imprecision 8","MDA may reduce the
incidence of P. falciparum
clinical malaria between
12-24 months"
"4-12 months -
Serious
adverse events","Odds ratio 1.47
(CI 95% 0.68 — 3.2)
Based on data from
6,911 participants in 1
studies. (Randomized
controlled)","3
per 1000
Difference:","5
per 1000
2 more per 1000
( CI 95% 1 fewer
— 8 more )","Low
Due to very
serious
imprecision 9","MDA may have little to no
effect on serious adverse
events between 4-12
months"
"0-3 months -
Serious
Adverse Events","Odds ratio 3.61
(CI 95% 0.43 — 30.03)
Based on data from
6,911 participants in 1
studies. (Randomized
controlled)","0
per 1000
Difference:","1
per 1000
1 more per 1000
( CI 95% 0 more
— 11 more )","Moderate
Due to serious
imprecision 10","MDA probably results in
little to no difference in
serious adverse events
between 0-3 months"
"Pf - Vomiting
among people
receiving
SP+AS with or
without PQ vs
Placebo - Low/
Very Low -
cRCTs","Odds ratio 0.54
(CI 95% 0.19 — 1.54)
Based on data from 703
participants in 1 studies.
(Randomized controlled)","43
per 1000
Difference:","24
per 1000
19 fewer per 1000
( CI 95% 35 fewer
— 22 more )","Moderate
Due to serious
imprecision 11","MDA probably does not
increase vomiting among
people receiving SP+AS
with or without PQ vs
Placebo"
,,,,,
