"Outcome
Timeframe","Study results and
measurements","Comparator
No malaria
vaccination","Intervention
Malaria vaccination","Certainty of the
evidence
(Quality of evidence)",Summary
9 Critical,,,,,
"Serious adverse
events; R21/
Matrix-M vs.
control 115
Phase 3
randomized trial
2021-ongoing
9 Critical","Rate ratio 1.07
(CI 95% 0.74 — 1.55)
Based on data from 4,878
participants in 1 studies.
116 (Randomized
controlled)
Follow up: April 2021 to 31
March 2023.","25
per 1000
Difference:","27
per 1000
2 more per 1000
( CI 95% 7 fewer —
14 more )","Moderate
Due to imprecision","There is probably no
difference in serious
adverse events between
R21/Matrix-M vaccination
and control."
"Febrile
convulsions
(within 28 days
of vaccination);
RTS,S/AS01 vs.
control 117
Phase 3
randomized trial
2009–2014
6 Important","Rate ratio 0.97
(CI 95% 0.78 — 1.2)
Based on data from 5,950
participants in 1 studies.
118 (Randomized
controlled)
Follow up: month 0 to
study end (median 48
months).","55
per 1000
Difference:","53
per 1000
2 fewer per 1000
( CI 95% 12 fewer
— 11 more )","Low
Due to serious
imprecision 119","RTS,S/AS01 vaccination
may result in little or no
difference in febrile
convulsions."
"Febrile
convulsions
(within 28 days
of vaccination);
RTS,S/AS01
alone vs. SMC
alone 120
Phase 3b
randomized trial
2017–2020
6 Important","Based on data from 3,953
participants in 1 studies.
121 (Randomized
controlled)
Follow up: 3 years.","0
per 1000","1.5
per 1000","Low
Due to serious
imprecision; zero
events in the
control group 122","RTS,S/AS01 vaccination
may result in little or no
difference in febrile
convulsions compared with
SMC."
"Febrile
convulsions
(within 28 days
of vaccination);
RTS,S/AS01 +
SMC
combination vs.
SMC alone 123
Phase 3b
randomized trial
2017–2020
6 Important","Based on data from 3,932
participants in 1 studies.
124 (Randomized
controlled)
Follow up: 3 years.","0
per 1000","1
per 1000","Low
Due to serious
imprecision; zero
events in the
control group 125","RTS,S/AS01 vaccination
with SMC may result in
little or no difference in
febrile convulsions
compared with SMC alone."
"Febrile
convulsions",Based on data from 278,,,"Low
Due to serious","Due to zero events and
small sample, cannot
determine an association"
,,,,,
