Outcome Timeframe,Study results and measurements,Comparator no treatment plus CQ,Intervention TQ plus CQ,Certainty of the evidence (Quality of evidence),Summary
Recurrent P. vivax parasitaemia by 6 months,Relative risk 0.32 (CI 95% 0.12 -0.88) Based on data from 504 participants in 2 studies.,636 per 1000 Difference:,204 per 1000 432 fewer per 1000 ( CI 95% 76 fewer -560 more ),"Moderate Downgraded one level for high heterogeneity: one of the trials was small and had few events during six months, as such this result is at high risk of overestimating the true effect. 1","TQ + CQ reduces relapse of P. vivax infections compared to CQ alone. However, there is moderate uncertainty around effect size."
Serious adverse events,Relative risk 1.34 (CI 95% 0.63 -2.84) Based on data from 504 participants in 2 studies.,53 per 1000 Difference:,72 per 1000 18 more per 1000 ( CI 95% 34 fewer -152 more ),"Low All trials when combined enrolled adults with P. vivax malaria in Peru, Thailand, India, Ethiopia, Cambodia,",TQ + CQ may cause more serious adverse events than CQ alone.
