"Outcome
Timeframe","Study results and
measurements","Comparator
No IRS","Intervention
IRS","Certainty of the
evidence
(Quality of evidence)",Summary
"incidence rate
(children under
5 years)","Based on data from 2,000
participants in 1 studies.
(Randomized controlled)","per 1000
Difference:","per 1000
14 fewer per 1000
( CI 95% 42 fewer
— 22 more )","of bias, Due to
serious
indirectness, Due
to serious
imprecision 1","of IRS on malaria
incidence in children
under 5 years of age
compared to no IRS."
"Malaria,
incidence rate
(all ages) follow-
up: range 3-6
months","Rate ratio 0.9
(CI 95% 0.63 — 1.29)
Based on data from 2,000
participants in 4 studies.
(Randomized controlled)","57
per 1000
Difference:","38
per 1000
6 fewer per 1000
( CI 95% 21 fewer
— 17 more )","Very low
Due to serious risk
of bias, Due to
serious
inconsistency, Due
to serious
indirectness, Due
to serious
imprecision 2","The evidence is very
uncertain about the effect
of IRS on malaria
incidence compared to no
IRS when followed up for
three to six months."
"Malaria, point
prevalence
(children under
6) follow-up:
mean 3 months","Relative risk 0.95
(CI 95% 0.68 — 1.32)
Based on data from 423
participants in 1 studies.
(Randomized controlled)","270
per 1000
Difference:","256
per 1000
14 fewer per 1000
( CI 95% 86 fewer
— 86 more )","Low
Due to serious risk
of bias, Due to
serious imprecision
3","IRS may have little to no
impact on malaria
prevalence compared to
no IRS in children under 6
years of age when
followed up for three
months."
"Deaths,
incidence rate
(all ages) follow-
up: mean 3
months","Rate ratio 0.4
(CI 95% 0.2 — 0.8)
Based on data from
200,000 participants in 1
studies.","25
per 100.000
Difference:","10
per 100.000
0 fewer per
100.000
( CI 95% 20 fewer
— 5 fewer )","Very low
Due to serious risk
of bias, Due to
serious
indirectness, Due
to serious
imprecision 4","The evidence is very
uncertain about the effect
of IRS on all-cause deaths
compared to no IRS when
followed up for three
months."
"Malaria, point
prevalence (all
ages) (nRCT
and controlled
before-and-after
data) follow-up:
range 1-12
months","Based on data from 7,179
participants in 4 studies.
(Observational (non-
randomized))","Gunasekaran tested participants for
malaria infection approximately four
months post IRS. The risk of malaria
infection in the sprayed group was 0.31
(95% CI 0.27 to 0.35) relative to the
unsprayed group. Guyatt tested
participants for malaria infection at
approximately two months after IRS.
The risk of malaria infection in the
sprayed group relative to the unsprayed
group was 0.25 (95% CI 0.15 to 0.42).
Mashauri examined participants for
malaria infection six months post IRS.
The risk of malaria infection was 0.56
(95% CI 0.41 to 0.76) for those in the
sprayed group compared with those in
the unsprayed group. Ramachandra
tested for malaria infection
approximately one month post IRS. The
risk of malaria infection in the sprayed
group was 0.70 (95% CI 0.65 to 0.75)
compared with the unsprayed group.",,"Very low
Due to very serious
risk of bias 5","The evidence is very
uncertain about the effect
of IRS on malaria
prevalence compared to
no IRS when followed up
for one to 12 months."
"Malaria, point
prevalence","Based on data from 497
participants in 2 studies.","Guyatt tested participants for malaria
infection approximately two months after",,"Very low
Due to very serious","The evidence is very
uncertain about the effect"
,,,,,
