"Summary
Seven studies of MTaT were included in the systematic review: four cRCTs, conducted in Kenya, Indonesia, Zambia and Burkina
Faso; and three NRSs in Senegal, Ghana and India (Bhamani et al unpublished evidence).
All four of the cRCTs conducted 2–3 rounds of MTaT over a period of up to one year, with the exception of the study in Kenya that
carried out six rounds of MTaT over two years. The studies in Kenya and Burkina Faso were conducted in areas of moderate to
high transmission while those in Indonesia and Zambia were areas of low transmission. The overall risk of bias for community-level
outcomes in these studies was low. Meta-analyses of the results found little to no reductions in community-level incidence or
prevalence of infection. However, there was a small reduction of the incidence of clinical malaria found in two studies.
The certainty of evidence from the NRSs was GRADEd as very low.",Col1,Col2,Col3,Col4,Col5
"Outcome
Timeframe","Study results and
measurements","Comparator
No MTaT","Intervention
Mass testing and
treatment","Certainty of the
evidence
(Quality of evidence)",Summary
"2 months -
Prevalence","Relative risk 0.93
(CI 95% 0.82 — 1.04)
Based on data from 3,660
participants in 1 studies.
(Randomized controlled)
Follow up: one study with
2 cohorts (year 1 & 2).
pooled for both the
cohorts.","377
per 1000
Difference:","351
per 1000
26 fewer per 1000
( CI 95% 68 fewer
— 15 more )",High,"MTaT does not reduce the
prevalence of malaria at 2
months."
"0 - 12 months -
Incidence","Rate ratio 0.95
(CI 95% 0.87 — 1.04)
Based on data from 857
participants in 1 studies.
(Randomized controlled)","2,331
per 1000
Difference:","2,214
per 1000
117 fewer per
1000
( CI 95% 303 fewer
— 93 more )",High,"MTaT does not reduce
incidence of malaria
infection between 0-12
months."
"0 - 12 months -
Incidence of
clinical malaria","Relative risk 0.81
(CI 95% 0.7 — 0.95)
Based on data from
332,454 participants in 2
studies. (Randomized
controlled)","233
per 1000
Difference:","189
per 1000
44 fewer per 1000
( CI 95% 70 fewer
— 12 fewer )",High,"MTaT reduces the
incidence of clinical
malaria between 0-12
months."
"6 - 12 months -
Incidence","Relative risk 1.27
(CI 95% 0.51 — 3.14)
Based on data from 2,349
participants in 2 studies.
(Randomized controlled)
Follow up: One study has
two intervention arms.
Both intervention arms are
pooled with another study
and compared with the
control. Control arm is
inflated in value because
it's the same comparison
group for the two different
intervention arm in one
study.","4
per 1000
Difference:","5
per 1000
1 more per 1000
( CI 95% 2 fewer
— 11 more )","Moderate
Due to serious
imprecision 1","MTaT likely results in little
to no difference in the
incidence of malaria
infection between 6-12
months (outcome
measured only in
children)."
,,,,,
