"Outcome
Timeframe","Study results and
measurements","Comparator
PQ plus CQ","Intervention
TQ plus CQ","Certainty of the
evidence
(Quality of evidence)",Summary
"Any adverse
event","Relative risk 1.01
(CI 95% 0.89 — 1.14)","591
per 1000","597
per 1000
( CI 95% 526
fewer — 674 more
)","High
3","TQ + CQ probably has
little or no difference in
adverse events (any
type) compared to
standard‐dose PQ + CQ."
"1. Risk of Bias: no serious. Two trials were at low risk of selection bias (selection bias in Llanos‐Cuentas 2019 was unclear),
while all trials were at low risk of reporting bias. Indirectness: no serious. All trials when combined enrolled adults with P.
vivax malaria in Peru, Thailand, India, Ethiopia, Cambodia, Philippines, Colombia, Viet Nam and Brazil. CQ was given in the
standard adult dose to all participants. However, 75% of sample size data were from the South America study sites.
2, 3. Risk of Bias: no serious. Two trials were at low risk of selection bias (selection bias in Llanos‐Cuentas 2019 was
unclear), while all trials were at low risk of reporting bias.",,,,,
