Outcome Timeframe,Study results and measurements,Comparator Quinine,Intervention Artemether- lumefantrine,Certainty of the evidence (Quality of evidence),Summary
Composite,"Relative risk 0.58 (CI 95% 0.36 -0.92) Based on data from 1,439 participants in 12 studies.",92 per 1000 Difference:,54 per 1000 37 fewer per 1000 ( CI 95% 58 fewer,Low,AL may reduce adverse fetal events
