Outcome Timeframe,Study results and measurements,Comparator AS-AQ,Intervention ASPY,Certainty of the evidence (Quality of evidence),Summary
Total failure: day 28 (PCR- adjusted),Relative risk 0.55 (CI 95% 0.11 -2.77) Based on data from,8 per 1000,4 per 1000,"Low Due to serious indirectness, Due","Compared to AS-AQ, ASPY may have fewer PCR-adjusted failures at"
