Outcome Timeframe,Study results and measurements,Comparator No malaria vaccination,Intervention Malaria vaccination,Certainty of the evidence (Quality of evidence),Summary
vaccination) 59 Pilot implementation study 2019-2023 6 Important,,,,,
"Protective efficacy (%) against all-cause hospitalizations; 3 doses of R21/ Matrix-M vs. control (age- based vaccination, low to moderate transmission) 62 Phase 3 randomized trial 2021-ongoing","11 (CI 95% -67 -52) Based on data from 1,751 participants in 1 studies. 63 (Randomized controlled) Follow up: 18 months post dose 3.",19.5 per 1000 Difference:,19.2 per 1000 0 fewer per 1000 ( CI 95% 8 fewer- 12 more ),Moderate Due to imprecision,There is probably little or no difference between R21/Matrix-M vaccination and control in reducing the number of all-cause hospitalizations.
"Protective efficacy (%) against all-cause hospital admissions; RTS,S/AS01 alone vs. SMC alone (seasonal vaccination) 64 Phase 3b randomized trial 2017-2020 6 Important","-22.3 (CI 95% -74.4 -14.3) Based on data from 3,953 participants in 1 studies. 65 (Randomized controlled) Follow up: 3 years.",11 per 1000 Difference:,13.2 per 1000 2.2 more per 1000 ( CI 95% 0.5 fewer -5.6 more ),Low Due to very serious imprecision 66,"There may be little or no difference between RTS,S/ AS01 vaccination and SMC in reducing all-cause hospital admissions."
"Protective efficacy (%) against all-cause hospital admissions; RTS,S/AS01 + SMC combination vs. SMC alone (seasonal vaccination) 67 Phase 3b randomized trial 2017-2020","18.7 (CI 95% -19.4 -44.7) Based on data from 3,932 participants in 1 studies. 68 (Randomized controlled) Follow up: 3 years.",11 per 1000 Difference:,8.9 per 1000 2.1 fewer per 1000 ( CI 95% 4.28 fewer -0.8 more ),Low Due to very serious imprecision 69,"The combination of RTS,S/ AS01 vaccination with SMC may be superior to SMC alone in reducing all- cause hospital admissions."
