"Outcome
Timeframe","Study results and
measurements","Comparator
No MDA","Intervention
MDA","Certainty of the
evidence
(Quality of evidence)",Summary
"Adverse event
(vomiting):
SP+AS +/-PQ,
RCT, Pf, low/
very low
transmission
4 Important","Odds ratio 0.54
(CI 95% 0.19 — 1.54)
Based on data from 703
participants in 1 studies.
(Randomized controlled)","43
per 1000
Difference:","24
per 1000
19 fewer per 1000
( CI 95% 35 fewer
— 22 more )","Moderate
Due to serious
imprecision 35","MDA with SP+AS +/-PQ
probably increases
vomiting."
"Difference in
haemoglobin
between day 1
and day 7, Pf,
low/very low
transmission
4 Important","High better
Based on data from 680
participants in 1 studies.
(Randomized controlled)",Difference:,"MD 0.53 higher
( CI 95% 0.27
higher — 0.79
higher )",High,"MDA improves difference
in haemoglobin levels
between day 1 and day 7
post-MDA treatment."
"Pf: Adverse
events in low/
very low
transmission
settings, cRCTs","Based on data from
participants in 5 studies.
(Randomized controlled)","SAE: Morris 2018 reported no SAEs,
_
Shekalaghe 2011 reported two SAEs:
_
a serious skin reaction and severe
anaemia, Eisele 2020 reported four
_
SAEs, of which three were deemed
unrelated to drug ingestion, and
McLean 2021 reported six SAEs (three
_
deaths [all deemed unrelated to the
drug], one stillbirth, one miscarriage,
and one episode of severe dehydration
secondary to vomiting and diarrhoea).
AE: Morris 2018 used both active and
_
passive detection of AEs; 298
individuals reported a total of 414
events out of 2411 doses of DHAP +
single low dose primaquine; the most
commonly reported AEs were nausea
and vomiting (33.1% of all reports),
dizziness, headache, and fatigue
(23.5%), and stomach pain and
diarrhoea (18.9%). von Seidlein 2019
_
reported that “1535 of 8112 (19%) MDA
participants recalled 2577 AEs, of
which 911 (35%) were considered
related to the antimalarials; 592 (23%)
of the 2577 AEs were dizziness, 199
(8%) nausea, 96 (4%) vomiting, and 39
(2%) itching, and 1653 (64%)
participants reported a range of other
minor complaints. There were no cases
of severe haemolysis.” Among 336821
courses of DHAP, Eisele 2020
_
reported 687 AEs. The most common
AE reported was gastrointestinal
disturbances (diarrhoea, vomiting,
abdominal pain, and nausea) at 48.6%;
dizziness 19.8%; headache 16.0%, and
general body weakness at 11.4%.
McLean 2021 reported 151 AEs out of
_
a total of 10677 doses. The majority of
these (120) were mild, and dizziness
and rash or itching were most
commonly reported. Only 18 AEs were
assessed as probably related to the
medicine.",,"Low
36",
,,,,,
