Outcome Timeframe,Study results and measurements,Comparator No MDA,Intervention MDA,Certainty of the evidence (Quality of evidence),Summary
transmission 1-3 months post- MDA 9 Critical,studies. (Randomized controlled),,,,areas 1-3 months post- MDA.
"Clinical malaria incidence: RCT, Pf, low/very low transmission 1-3 months post- MDA 9 Critical","Rate ratio 0.58 (CI 95% 0.12 -2.73) Based on data from 130,651 participants in 2 studies. (Randomized controlled)",Difference:,20 fewer per 1000 ( CI 95% 50 fewer -90 more ),Low Due to very serious imprecision 2,MDA may decrease clinical malaria incidence in delimited low to very low malaria transmission areas 1-3 months post- MDA.
"Clinical malaria incidence: RCT, Pf, low/very low transmission 4-12 months post- MDA 9 Critical","Rate ratio 0.47 (CI 95% 0.21 -1.03) Based on data from 26,576 participants in 3 studies. (Randomized controlled)",Difference:,5 fewer per 1000 ( CI 95% 7 fewer -0fewer ),"Very low Due to serious risk of bias, Due to serious imprecision 3",We are uncertain whether MDA increases or decreases clinical malaria incidence in delimited low to very low transmission areas 4-12 months post-MDA.
"Clinical malaria incidence: RCT, Pf, low/very low transmission 12-24 months post-MDA 9 Critical","Rate ratio 0.77 (CI 95% 0.2 -3.03) Based on data from 23,251 participants in 1 studies. (Randomized controlled)",Difference:,4 fewer per 1000 ( CI 95% 14 fewer -34 more ),Low Due to very serious imprecision 4,MDA may decrease clinical malaria incidence in delimited low to very low malaria transmission areas 12-24 months post-MDA.
"Clinical malaria incidence: RCT, Pv 4-12 months post- MDA 9 Critical","Rate ratio 1.38 (CI 95% 0.97 -1.95) Based on data from 3,325 participants in 2 studies. (Randomized controlled)",Difference:,16 fewer per 1000 ( CI 95% 39 fewer -1fewer ),"Very low Due to serious risk of bias, Due to serious inconsistency, Due to serious imprecision 5",We are uncertain whether MDA increases or decreases P. vivax clinical malaria incidence 4-12 months post-MDA.
"Clinical malaria incidence: non- RCT, Pv <1 month post- MDA 9 Critical","Rate ratio 0.23 (CI 95% 0.21 -0.25) Based on data from 62,744 participants in 2 studies. (Observational (non-randomized))",Difference:,36 fewer per 1000 ( CI 95% 39 fewer -33 fewer ),Very low Due to very serious risk of bias 6,We are uncertain whether MDA increases or decreases P. vivax clinical malaria incidence <1 month post-MDA.
Clinical malaria incidence: non-,Rate ratio 0.29 (CI 95% 0.26 -0.31) Based on data from,Difference:,45 fewer per 1000,Very low Due to serious,We are uncertain whether MDA increases or decreases P. vivax
