"Outcome
Timeframe","Study results and
measurements","Comparator
No IRS","Intervention
IRS","Certainty of the
evidence
(Quality of evidence)",Summary
"(children under
5) (nRCT and
controlled
before-and-after
data) follow-up:
range 6-12
months","(Observational (non-
randomized))","IRS. The risk of malaria infection in the
sprayed group relative to the unsprayed
group was 0.28 (95% CI: 0.10–0.77).
Mashauri examined participants for
malaria infection six months post-IRS.
The risk of malaria infection was 0.19
(95% CI: 0.07–0.48) for those in the
sprayed group compared to those in the
unsprayed group.",,risk of bias 6,"of IRS on malaria
prevalence in children
under 5 years of age
compared to no IRS when
followed up from six
months to 12 months."
"Malaria, point
prevalence
(children 5-15
years) follow-
up: range 3-6
months","Based on data from 2,752
participants in 2 studies.
(Randomized controlled)","Curtis examined children over 6 years of
age approximately three months post-
IRS (first quarter of 1996, spraying in
December 1995). The risk of malaria
infection in the sprayed cohort relative to
the unsprayed cohort was 1.10 (95% CI:
0.94–1.29). Rowland examined children
between 5 and 15 years of age three
months post-IRS. The risk of malaria
infection in the sprayed cohort relative to
the unsprayed cohort was 0.15 (95% CI:
0.06–0.37).",,"Very low
Due to serious risk
of bias, Due to
serious
inconsistency, Due
to serious
imprecision 7","The evidence is very
uncertain about the effect
of IRS on malaria
prevalence in children
aged 5 to 15 years
compared to no IRS when
followed up from three
months to six months."
"Malaria, point
prevalence
(children aged
5-15 years)
(nRCT and
controlled
before-and-after
data) follow-up:
range 6-12
months","Based on data from 907
participants in 2 studies.
(Observational (non-
randomized))","Guyatt tested participants for malaria
infection approximately two months after
IRS. The risk of malaria infection in the
sprayed group relative to the unsprayed
group was 0.32 (95% CI: 0.16–0.65).
Mashauri examined participants for
malaria infection six months post-IRS.
The risk of malaria infection was 0.60
(95% CI: 0.42–0.87) for those in the
sprayed group compared to those in the
unsprayed group.",,"Very low
Due to very serious
risk of bias, Due to
serious imprecision
8","The evidence is very
uncertain about the effect
of IRS on malaria
prevalence in children
aged 5 to 15 years
compared to no IRS when
followed up from six
months to 12 months."
"Malaria, point
prevalence
(aged 15+ years)
(nRCT and
controlled
before-and-after
data) follow-up:
range 6-12
months","Based on data from 916
participants in 2 studies.
(Observational (non-
randomized))","Guyatt tested participants for malaria
infection approximately two months after
IRS. The risk of malaria infection in the
sprayed group relative to the unsprayed
group was 0.17 (95% CI: 0.07–0.43).
Mashauri examined participants for
malaria infection six months post-IRS.
The risk of malaria infection was 1.26
(95% CI: 0.57–2.76) for those in the
sprayed group compared to those in the
unsprayed group.",,"Very low
Due to very serious
risk of bias, Due to
serious imprecision
9","The evidence is very
uncertain about the effect
of IRS on malaria
prevalence in those aged
15 years or older
compared to no IRS when
followed up from six
months to 12 months."
"Death,
incidence rate
(children under
5 years) follow-
up: mean 3
months","Based on data from 2,000
participants in 1 studies.
(Randomized controlled)","There were no deaths in children under
5 years in the treated camps within three
months following IRS. Confidence
intervals could not be estimated.",,"Very low
Due to serious risk
of bias, Due to
serious
indirectness, Due
to serious
imprecision 10","The evidence is very
uncertain about the effect
of IRS on all-cause deaths
in children under 5 years
of age compared to no
IRS when followed up for
3 months."
,,,,,
