"Clinical question/ PICO
Population: Adults and children living in areas with ongoing malaria transmission
Intervention: Pyrethroid-pyriproxyfen nets for prevention of malaria
Comparator: Pyrethroid-only nets for prevention of malaria
Summary
The systematic review [Barker et al unpublished evidence] included three trials from Benin [62], Burkina Faso [63] and the United
Republic of Tanzania [60] that compared the epidemiological impact against malaria of pyrethroid-pyriproxyfen ITNs (either
alphacypermethrin-pyriproxyfen or permethrin-pyriproxyfen) against that of pyrethroid-only LLINs (either permethrin or
alphacypermethrin). All three trials were conducted in areas of high malaria transmission and pyrethroid‐resistance. The review
provided high-certainty evidence that incidence of clinical malaria was lower in areas where pyrethroid-pyriproxyfen ITNs were
deployed, compared to where pyrethroid-only LLINs were deployed, at one and two years after ITN deployment (one-year
incidence rate ratio (IRR): 0.81; 95% CI: 0.70–0.93; two-year IRR: 0.87; 95% CI: 0.80–0.95). The review also provided moderate to
high certainty evidence that prevalence of malaria infection was lower in areas where pyrethroid-pyriproxyfen ITNs were deployed
than in those where pyrethroid-only LLINs were deployed, at some, but not all, time points after ITN deployment (six-month relative
risk (RR): 0.96; 95% CI: 0.85–1.08; 12-month RR: 0.70; 95% CI: 0.60–0.80; 18-month RR: 0.98; 95% CI: 0.92–1.04; 24-month RR:
0.82; 95% CI: 0.75–0.90).",Col1,Col2,Col3,Col4,Col5
"Outcome
Timeframe","Study results and
measurements","Comparator
Pyrethroid-only nets
for prevention of
malaria","Intervention
Pyrethroid-
pyriproxyfen nets for
prevention of malaria","Certainty of the
evidence
(Quality of evidence)",Summary
"Malaria case
incidence
(overall)","Rate ratio 0.9
(CI 95% 0.73 — 1.13)
Based on data from
63,163 participants in 3
studies. (Randomized
controlled)","1,037
per 1000
Difference:","929
per 1000
104 fewer per
1000
( CI 95% 280 fewer
— 135 more )",Low,"2000-person years (3
RCTs); Length of time
observed: 5 months to 24
months; Based on data
from at least 63,163
participants (2 studies);
Absolute calculation
performed manually as
GRADEPro cannot
calculate using IRR."
,,,,,
