Outcome Timeframe,Study results and measurements,Comparator No malaria vaccination,Intervention Malaria vaccination,Certainty of the evidence (Quality of evidence),Summary
(seasonal vaccination) 78 Phase 3 randomized trial 2021-ongoing 6 Important,,,,,
"Incidence rate ratio against all- cause mortality; 3 or 4 doses RTS,S/AS01 vs. control (age- based vaccination, low to high transmission) 81 Phase 3 randomized trial 2009-2014","Rate ratio 1.21 (CI 95% 0.86 -1.72) Based on data from 8,922 participants in 1 studies. 82 (Randomized controlled) Follow up: month 0 to end of study (median of 48 months).",15 per 1000 Difference:,18.83 per 1000 3 more per 1000 ( CI 95% 2 fewer- 11 more ),Low Due to very serious imprecision 83,"There were too few deaths to determine the impact of RTS,S/AS01 vaccination on all-cause mortality."
"efficacy (%) against all-cause mortality; 3 doses of R21/ Matrix-M vs. control (age- based vaccination, low to moderate transmission) 84 Phase 3 randomized trial 2021-ongoing 6 Important","Based on data from 2,451 participants in 1 studies. 85 (Randomized controlled) Follow up: 14 months post dose 1.",1.23 per 1000,3.05 per 1000,Low Due to serious imprecision 86,Too few events to determine an association between R21/Matrix-M vaccination and all-cause mortality from this study.
"Ratio of ratios: incidence ratio of all-cause mortality in age- eligible and age- ineligible children in RTS,S/AS01 implementing vs. comparison areas (age- based vaccination) 87 Pilot implementation","0.87 (CI 95% 0.77 -0.97) Based on data from 58,114 participants in 1 studies. 88 Follow up: month 0 to month 46.",,,,"RTS,S/AS01 vaccine introduction probably reduces all-cause mortality."
