"Outcome
Timeframe","Study results and
measurements","Comparator
no IRS","Intervention
IRS","Certainty of the
evidence
(Quality of evidence)",Summary
,participants in 1 studies.,Difference:,"80 more per 1000
( CI 95% 23 fewer
— 226 more )",,
"P. vivax
incidence","Relative risk 0.51
(CI 95% 0.49 — 0.52)
Based on data from
480,372 participants in 1
studies.","57
per 1000
Difference:","29
per 1000
28 fewer per 1000
( CI 95% 29 fewer
— 27 fewer )","Very low
Due to serious risk
of bias; due to
serious
indirectness.
Upgraded because
all plausible
confounding would
reduce the
demonstrated
effect.","The evidence is very
uncertain about the effect
of IRS on P. vivax
incidence compared to no
IRS."
"P. vivax
prevalence","Odds ratio 0.74
(CI 95% 0.25 — 2.14)
Based on data from 4,708
participants in 2 studies.","78
per 1000
Difference:","59
per 1000
19 fewer per 1000
( CI 95% 57 fewer
— 75 more )","Very low
Due to serious
inconsistency; due
to serious
indirectness; due
to serious
imprecision.
Upgraded because
all plausible
confounding would
reduce
demonstrated
effect.","The evidence is very
uncertain about the effect
of IRS on P. vivax
prevalence compared to
no IRS."
"References
55. Messenger LA, Furnival-Adams J, Pelloquin B, Rowland M. Vector control for malaria prevention during humanitarian
emergencies: protocol for a systematic review and meta-analysis. BMJ Open 2021;11(7):e046325-e046325 Pubmed Journal
Website",,,,,
