Outcome Timeframe,Study results and measurements,Comparator Standard of care,Intervention Spatial emanators (mosquito coils),Certainty of the evidence (Quality of evidence),Summary
Parasite prevalence (P. falciparum) in people,"Odds ratio 0.23 (CI 95% 0.11 -0.49) Based on data from 3,632 participants in 1 studies. 1 (Randomized controlled)",3.3 per 1000 Difference:,2.6 fewer 3.3 fewer -1.7 fewer,Moderate Due to serious imprecision 2,Spatial emanators (mosquito coils) probably decreases parasite prevalence (P. falciparum) slightly
Parasite prevalence (P. vivax) in people,"Odds ratio 0.2 (CI 95% 0.09 -0.44) Based on data from 3,632 participants in 1 studies. 3 (Randomized controlled)",3.3 per 1000 Difference:,2.7 fewer ( CI 95% 3 fewer -1.9 fewer ),Moderate Due to serious imprecision 4,Spatial emanators (mosquito coils) probably decreases parasite prevalence (P. vivax) slightly
