Outcome Timeframe,Study results and measurements,Comparator No intervention or alternative medicines,Intervention SMC,Certainty of the evidence (Quality of evidence),Summary
4 Important,,,-125 fewer ),,
"Parasite prevalence, children 5-9 years, SP+AQ, 5-6 cycles 4 Important",Relative risk 0.23 (CI 95% 0.11 -0.48) Based on data from 200 participants in 1 studies. (Randomized controlled),250 per 1000 Difference:,57 per 1000 193 fewer per 1000 ( CI 95% 223 fewer -130 fewer ),High,5-6 cycles of SMC with SP+AQ reduces parasite prevalence in children 5-9 years.
"Parasite prevalence, children <10 years, SP+AQ, 3-6 cycles 4 Important",Relative risk 0.28 (CI 95% 0.17 -0.44) Based on data from 200 participants in 2 studies. (Randomized controlled),84 per 1000 Difference:,24 per 1000 60 fewer per 1000 70 fewer -47 fewer,High,SMC with SP+AQ reduces parasite prevalence of malaria in children <10 years.
"Parasite prevalence, children <10 years, SP+AQ, 3-4 cycles 4 Important",Relative risk 0.29 (CI 95% 0.14 -0.61) Based on data from 200 participants in 1 studies. (Randomized controlled),19 per 1000 Difference:,6 per 1000 13 fewer per 1000 ( CI 95% 16 fewer -7fewer ),High,3-4 cycles of SMC with SP+AQ reduces parasite prevalence in children <10 years.
"Parasite prevalence, children <10 years, SP+AQ, 5-6 cycles 4 Important",Relative risk 0.27 (CI 95% 0.15 -0.48) Based on data from 200 participants in 1 studies. (Randomized controlled),215 per 1000 Difference:,58 per 1000 157 fewer per 1000 ( CI 95% 183 fewer -112 fewer ),High,5-6 cycles of SMC with SP+AQ reduces parasite prevalence in children <10 years.
"Any anaemia, children <5 years 2 Not Important",Relative risk 0.84 (CI 95% 0.8 -0.88) Based on data from 200 participants in 6 studies. (Randomized controlled),524 per 1000 Difference:,440 per 1000 84 fewer per 1000 ( CI 95% 105 fewer -63 fewer ),Moderate Due to serious inconsistency 21,SMC probably reduces any anaemia in children <5 years.
Anaemia prevalence: SP+AQ 2 Not Important,Relative risk 0.47 (CI 95% 0.35 -0.63) (Randomized controlled),Difference:,26 fewer per 1000 ( CI 95% 32 fewer -18 fewer ),High,SMC with SP+AQ reduces anaemia prevalence.
"Any anaemia,",Relative risk 0.77,494,380,Moderate,3-4 cycles of SMC with
