Outcome Timeframe,Study results and measurements,Comparator No MDA,Intervention MDA,Certainty of the evidence (Quality of evidence),Summary
post-MDA 7 Critical,randomized)),"the first round of MDA, and by between 8% and 19% during the four weeks after the second round of MDA. Observed statistically significant changes at only one of eight time- points. Data on sample population sizes and from non-MDA control areas were not available, so absolute effects could not be calculated.","the first round of MDA, and by between 8% and 19% during the four weeks after the second round of MDA. Observed statistically significant changes at only one of eight time- points. Data on sample population sizes and from non-MDA control areas were not available, so absolute effects could not be calculated.",serious imprecision 9,hospitalization 0-1 months post-MDA.
Severe malaria hospitalization 0-1 months post-MDA 7 Critical,Based on data from participants in 1 studies. (Observational (non- randomized)),"Change in the number of hospital admissions secondary to severe malaria ranged from a decrease of 31% to an increase of 8% during the four weeks after the first round of MDA, and by a 19% decrease to an 8% increase during the four weeks after the second round of MDA. Observed statistically significant changes at three of eight time-points. Data on sample population sizes and from non-MDA control areas were not available, so absolute effects could not be","Change in the number of hospital admissions secondary to severe malaria ranged from a decrease of 31% to an increase of 8% during the four weeks after the first round of MDA, and by a 19% decrease to an 8% increase during the four weeks after the second round of MDA. Observed statistically significant changes at three of eight time-points. Data on sample population sizes and from non-MDA control areas were not available, so absolute effects could not be",Very low Due to serious risk of bias and serious imprecision 10,We are uncertain whether MDA increases or decreases severe malaria hospitalization 0-1 months post-MDA.
Parasitologicall y confirmed malaria 0-1 months post- MDA 7 Critical,Based on data from participants in 1 studies. (Observational (non- randomized)),"Point estimates of changes in parasitologically-confirmed malaria cases at health facilities decreased by between 35% and 62% during the four weeks after the first round of MDA, and by between 26% and 58% during the four weeks after the second round of MDA. All change estimates represented a statistically significant change from baseline. However, reductions in the number of parasitologically confirmed cases were also observed at all time points in no- MDA control areas during this time. 95% confidence intervals of the estimated changes in both MDA and non-MDA groups overlapped at all but two time points immediately after the first round of MDA. Data on sample population sizes were not available, so","Point estimates of changes in parasitologically-confirmed malaria cases at health facilities decreased by between 35% and 62% during the four weeks after the first round of MDA, and by between 26% and 58% during the four weeks after the second round of MDA. All change estimates represented a statistically significant change from baseline. However, reductions in the number of parasitologically confirmed cases were also observed at all time points in no- MDA control areas during this time. 95% confidence intervals of the estimated changes in both MDA and non-MDA groups overlapped at all but two time points immediately after the first round of MDA. Data on sample population sizes were not available, so",Very low Due to serious risk of bias 11,We are uncertain about the effect of MDA on parasitologically confirmed malaria 0-1 months post-MDA.
