Outcome Timeframe,Study results and measurements,Comparator No malaria vaccination,Intervention Malaria vaccination,Certainty of the evidence (Quality of evidence),Summary
Protective efficacy (%) against all-cause hospitalizations; 4 doses of R21/ Matrix-M vs. control (seasonal vaccination) 70 Phase 3 randomized trial 2021-ongoing 6,"26 (CI 95% -43 -62) Based on data from 2,182 participants in 1 studies. 71 (Randomized controlled) Follow up: 18 months post dose 3.",16.4 per 1000 Difference:,13.6 per 1000 3 fewer per 1000 ( CI 95% 9 fewer- 8 more ),Moderate Due to imprecision,There is probably little or no difference between R21/Matrix-M vaccination and control in reducing the number of all-cause hospitalizations.
"Ratio of ratios: incidence ratio of admissions with a positive malaria test in age-eligible and age-ineligible children in RTS,S/AS01 implementing vs. comparison areas (age- based vaccination) 72 Pilot implementation study 2019-2023","0.83 (CI 95% 0.73 -0.95) Based on data from 58,114 participants in 1 studies. 73 Follow up: month 0 to month 46.",,,High 74,"RTS,S/AS01 vaccine introduction is associated with reduced hospital admissions with a positive malaria test."
"Protective efficacy (%) against malaria hospitalizations; 3 doses of R21/ Matrix-M vs. control (age- based vaccination, low to moderate transmission) 75 Phase 3 randomized trial 2021-ongoing 6 Important","23 (CI 95% -224 -82) Based on data from 1,885 participants in 1 studies. 76 (Randomized controlled) Follow up: 12 months post dose 3.",5 per 1000 Difference:,5.5 per 1000 0 fewer per 1000 ( CI 95% 3 fewer- 3 more ),Low Due to serious imprecision 77,Too few events and small sample size to determine an association between R21/Matrix-M vaccination and malaria hospital admissions from this study.
Protective efficacy (%) against malaria hospitalizations; 4 doses of R21/ Matrix-M vs. control,"58 (CI 95% -37 -87) Based on data from 2,182 participants in 1 studies. 79 (Randomized controlled) Follow up: 18 months post dose 3.",10 per 1000 Difference:,5 per 1000 5 fewer per 1000 ( CI 95% 8 fewer- 3 more ),Low Due to serious imprecision 80,Too few events and small sample size to determine an association between R21/Matrix-M vaccination and malaria hospital admissions from this study.
