Outcome Timeframe,Study results and measurements,Comparator No malaria vaccination,Intervention Malaria vaccination,Certainty of the evidence (Quality of evidence),Summary
randomized trial 2017-2020 6 Important,,,,,
Protective efficacy (%) against severe malaria; 3 doses of R21/Matrix-M vs. control (seasonal vaccination) 31 Phase 3 randomized trial 2021-ongoing,"58 (CI 95% -37 -87) Based on data from 2,182 participants in 1 studies. 32 (Randomized controlled) Follow up: 18 months post dose 3.",10 per 1000 Difference:,5 per 1000 5 fewer per 1000 ( CI 95% 8 fewer- 3 more ),Low Due to serious imprecision 33,Too few events and small sample size to determine an association between R21/Matrix-M vaccination and severe malaria from this study.
"Protective efficacy (%) against severe malaria anemia; 4 doses RTS,S/ AS01 vs. control (age-based vaccination, low to high transmission) 34 Phase 3 randomized trial 2009-2014","47.8 (CI 95% 11.6 -69.9) Based on data from 5,950 participants in 1 studies. 35 (Randomized controlled) Follow up: month 0 to end of study (median 48 months).",Difference:,11 fewer per 1000 ( CI 95% 1 fewer- 24 fewer ),Moderate Due to serious imprecision 36,"RTS,S/AS01 vaccination probably reduces severe malaria anaemia."
"Protective efficacy (%) against severe malaria anemia; RTS,S/AS01 alone vs. SMC alone (seasonal vaccination) 37 Phase 3b randomized trial 2017-2020 6 Important","18.4 (CI 95% -39.3 -52.2) Based on data from 3,953 participants in 1 studies. 38 (Randomized controlled) Follow up: 3 years.",5.69 per 1000 Difference:,4.52 per 1000 1.17 fewer per 1000 ( CI 95% 2.64 fewer -0.99 more ),Low Due to very serious imprecision 39,"There may be little or no difference between RTS,S/ AS01 vaccination and SMC in reducing severe malaria anaemia."
"Protective efficacy (%) against severe malaria anemia; RTS,S/AS01 + SMC combination vs. SMC alone","67.9 (CI 95% 34.1 -84.3) Based on data from 3,932 participants in 1 studies. 41 (Randomized controlled) Follow up: 3 years.",5.69 per 1000 Difference:,1.82 per 1000 3.87 fewer per 1000 ( CI 95% 2.32 fewer -4.71 fewer ),Moderate Due to serious imprecision 42,"The combination of RTS,S/ AS01 vaccination with SMC may be superior to SMC alone in reducing severe malaria anaemia."
