Outcome Timeframe,Study results and measurements,Comparator No malaria vaccination,Intervention Malaria vaccination,Certainty of the evidence (Quality of evidence),Summary
"against blood transfusions; RTS,S/AS01 + SMC combination vs. SMC alone (seasonal vaccination) 51 Phase 3b randomized trial 2017-2020","Based on data from 3,932 participants in 1 studies. 52 (Randomized controlled) Follow up: 3 years.",per 1000 Difference:,per 1000 2.77 fewer per 1000 ( CI 95% 1.32 fewer -3.49 fewer ),imprecision 53,SMC may be superior to SMC alone in reducing the need for blood transfusions.
Protective efficacy (%) against blood transfusions; 3 doses of R21/ Matrix-M vs. control (seasonal vaccination) 54 Phase 3 randomized trial 2021-ongoing,"20 (CI 95% -242 -81) Based on data from 2,182 participants in 1 studies. 55 (Randomized controlled) Follow up: 18 months post dose 3.",5.5 per 1000 Difference:,3.9 per 1000 2 fewer per 1000 ( CI 95% 4 fewer- 7 more ),Moderate Due to imprecision,There is probably little or no difference between R21/Matrix-M vaccination and control in reducing the number of blood transfusions.
"Protective efficacy (%) against all-cause hospital admissions; 4 doses RTS,S/ AS01 vs. control (age-based vaccination, low to high transmission) 56 Phase 3 randomized trial 2009-2014 6 Important","16.5 (CI 95% 7.2 -24.9) Based on data from 5,950 participants in 1 studies. 57 (Randomized controlled) Follow up: month 0 to end of study (median of 48 months).",259 per 1000 Difference:,216 per 1000 59 fewer per 1000 ( CI 95% 18 fewer -103 fewer ),High 58,"RTS,S/AS01 vaccination reduces all-cause hospital admissions."
"Ratio of ratios: incidence ratio of all-cause hospital admissions in age-eligible and age-ineligible children in RTS,S/AS01 implementing vs. comparison areas (age- based","0.92 (CI 95% 0.81 -1.05) Based on data from 58,114 participants in 1 studies. 60 Follow up: month 0 to month 46.",,,Moderate Due to serious imprecision. 61,"RTS,S/AS01 vaccine introduction probably has little or no difference on all- cause hospital admissions."
