Col0,Col1,Col2,Col3,Col4,Col5
"Outcome
Timeframe","Study results and
measurements","Comparator
No medicine","Intervention
Therapeutic course
of SP","Certainty of the
evidence
(Quality of evidence)",Summary
"Low
birthweight, per
dose of SP (low
prevalence –
2.5%)
9 Critical","Relative risk 0.75
(CI 95% 0.71 — 0.78)
Based on data from
80,519 participants in 98
studies. (Observational
(non-randomized))","25
per 1000
Difference:","19
per 1000
6 fewer per 1000
( CI 95% 7 fewer
— 5 fewer )","Low
Upgraded due to
clear dose-
response gradient,
Due to serious
publication bias 1","Therapeutic courses of
SP may improve low
birthweight in low-burden
areas."
"Low
birthweight, per
dose of SP (high
prevalence –
56.7%)
9 Critical","Relative risk 0.75
(CI 95% 0.71 — 0.78)
Based on data from
80,519 participants in 98
studies. (Observational
(non-randomized))","567
per 1000
Difference:","425
per 1000
142 fewer per
1000
( CI 95% 164 fewer
— 125 fewer )","Low
Upgraded due to
clear dose-
response gradient,
Due to serious
publication bias 2","Therapeutic courses of
SP may result in a large
improvement in low
birthweight in high-burden
areas."
"Maternal
anaemia, per
dose of SP
8 Critical","Relative risk 0.9
(CI 95% 0.87 — 0.93)
Based on data from
participants in 53 studies.
(Observational (non-
randomized))","108
per 1000
Difference:","97
per 1000
11 fewer per 1000
( CI 95% 14 fewer
— 8 fewer )","Low
Upgraded due to
clear dose-
response gradient,
Due to serious
publication bias 3","Therapeutic courses of
SP may decrease
maternal anaemia."
"Maternal malaria
infection at
delivery, per
dose of SP
7 Critical","Relative risk 0.8
(CI 95% 0.75 — 0.85)
Based on data from
participants in 72 studies.
(Observational (non-
randomized))","20
per 1000
Difference:","16
per 1000
4 fewer per 1000
( CI 95% 5 fewer
— 3 fewer )","Moderate
Upgraded due to
clear dose-
response gradient
4","Therapeutic courses of
SP probably decrease
maternal malaria infection
at delivery."
"Placental
malaria
infection
6 Important","Relative risk 0.78
(CI 95% 0.74 — 0.84)
Based on data from
participants in 76 studies.
(Observational (non-
randomized))","9
per 1000
Difference:","7
per 1000
2 fewer per 1000
( CI 95% 2 fewer
— 1 fewer )","Moderate
Upgraded due to
clear dose-
response gradient
5","Therapeutic courses of
SP probably decrease
placental malaria
infection."
"Preterm
delivery, per
dose of SP
6 Important","Relative risk 0.76
(CI 95% 0.71 — 0.81)
Based on data from
participants in 59 studies.
(Observational (non-
randomized))","16
per 1000
Difference:","12
per 1000
4 fewer per 1000
( CI 95% 5 fewer
— 3 fewer )","Very low
Due to serious
publication bias,
Due to serious
inconsistency 6","We are uncertain whether
therapeutic courses of SP
improve or worsen
preterm delivery."
"Stillbirths and/
or abortions
6 Important","Relative risk 0.68
(CI 95% 0.59 — 0.78)
Based on data from 0
participants in 46 studies.
(Observational (non-
randomized))","10
per 1000
Difference:","7
per 1000
3 fewer per 1000
( CI 95% 4 fewer
— 2 fewer )","Very low
Due to serious
inconsistency, Due
to serious
indirectness 7","We are uncertain whether
therapeutic courses of SP
improve or worsen
stillbirths and/or abortions."
,,,,,
