Outcome Timeframe,Study results and measurements,Comparator Pyrethroid-only ITNs,Intervention Pyrethroid- chlorfenapyr ITNs,Certainty of the evidence (Quality of evidence),Summary
Malaria case incidence (overall),"Rate ratio 0.72 (CI 95% 0.67 -0.78) Based on data from 61,183 participants in 2 studies. (Randomized controlled)",678 per 1000 Difference:,487 per 1000 190 fewer per 1000 ( CI 95% 224 fewer -149 fewer ),Moderate Due to serious inconsistency 1,"2000-person years (2 RCTs) Length of time observed: <1 month to 24 months Based on data from at least 61,183 participants (1 study) Absolute calculation performed manually as GRADEPro cannot calculate using IRR"
Malaria case incidence (1-year post- intervention),"Rate ratio 0.44 (CI 95% 0.37 -0.52) Based on data from 61,183 participants in 2 studies. (Randomized controlled)",487 per 1000 Difference:,213 per 1000 272 fewer per 1000 ( CI 95% 307 fewer -234 fewer ),High,"2000-person years (2 RCTs) Length of time observed: <1 month to 12 months Based on data from at least 61,183 participants (1 study) Absolute calculation performed manually as GRADEPro cannot calculate using IRR"
Malaria case incidence (2-years post- intervention),"Rate ratio 0.57 (CI 95% 0.51 -0.63) Based on data from 61,183 participants in 2 studies.",815 per 1000 Difference:,465 per 1000 351 fewer per 1000 ( CI 95% 400 fewer -302 fewer ),High,"2000 (2 RCTs) Length of time observed: 12 months to 24 months Based on data from at least 61,183 participants (1 study) Absolute calculation performed manually as GRADEPro cannot calculate using IRR"
Parasite prevalence (6-months follow-up),"Relative risk 0.5 (CI 95% 0.43 -0.59) Based on data from 2,249 participants in 1 studies. (Randomized controlled)",312 per 1000 Difference:,156 per 1000 156 fewer per 1000 ( CI 95% 178 fewer -128 fewer ),High,
Parasite prevalence (12-months,"Relative risk 0.78 (CI 95% 0.72 -0.85) Based on data from 2,473 participants in 1 studies.",523 per 1000,409 per 1000,High,
