Outcome Timeframe,Study results and measurements,Comparator ITNs,Intervention IRS,Certainty of the evidence (Quality of evidence),Summary
unstable malaria,"52,934 participants in 1 studies. (Randomized controlled)",Difference:,1 more per 1000 ( CI 95% 0 fewer -3more ),to serious imprecision 4,ITNs in areas of unstable malaria.
