Outcome Timeframe,Study results and measurements,Comparator placebo or untreated clothing,Intervention Insecticide-treated clothing,Certainty of the evidence (Quality of evidence),Summary
Clinical malaria (P. falciparum),Relative risk 0.49 (CI 95% 0.29 -0.83) Based on data from 997 participants in 2 studies.,35 per 1000 Difference:,17 per 1000 18 fewer per 1000 ( CI 95% 25 fewer -6fewer ),"Low Due to serious risk of bias, Due to serious imprecision 1",Insecticide - treating clothing may reduce P. falciparum clinical malaria compared to no insecticide-treated clothing.
Clinical malaria (P. vivax),Relative risk 0.64 (CI 95% 0.4 -1.01) Based on data from 997 participants in 2 studies.,116 per 1000 Difference:,74 per 1000 42 fewer per 1000 ( CI 95% 69 fewer -1more ),"Low Due to serious risk of bias, Due to serious imprecision 2",Insecticide - treating clothing may reduce P. vivax clinical malaria compared to no insecticide-treated clothing.
