Outcome Timeframe,Study results and measurements,Comparator MQ+AS,Intervention ASPY,Certainty of the evidence (Quality of evidence),Summary
Total failure: day 28 (PCR- adjusted),"Relative risk 0.37 (CI 95% 0.13 -1.05) Based on data from 1,117 participants in 1 studies. 1 (Randomized controlled)",22 per 1000 Difference:,8 per 1000 14 fewer per 1000 ( CI 95% 19 fewer -1more ),"Low Due to serious indirectness, Due to serious imprecision, Certainty of the evidence grade differs from the 2014 review version due to alterations in the data extraction protocol: the CI has become less precise, and our decision has greater consistency with other outcome certainty grades. 2","Compared to MQ+AS, ASPY may have fewer PCR-adjusted failures at day 28."
Total failure: day 42 (PCR- adjusted),"Relative risk 1.8 (CI 95% 0.9 -3.57) Based on data from 1,037 participants in 1 studies. 3 (Randomized controlled)",29 per 1000 Difference:,52 per 1000 23 more per 1000 ( CI 95% 3 fewer -75 more ),"Low Due to serious indirectness, Due to serious imprecision 4","Compared to MQ+AS, ASPY may have more PCR-adjusted failures at day 42."
Total failure: day 28 (unadjusted),"Relative risk 0.36 (CI 95% 0.17 -0.78) Based on data from 1,120 participants in 1 studies. 5 (Randomized controlled)",41 per 1000 Difference:,15 per 1000 26 fewer per 1000 ( CI 95% 34 fewer -9fewer ),Moderate Due to serious indirectness 6,"Compared to MQ+AS, ASPY probably has fewer unadjusted failures at day 28."
Total failure: day 42 (unadjusted),"Relative risk 0.84 (CI 95% 0.54 -1.31) Based on data from 1,059 participants in 1 studies. 7 (Randomized controlled)",83 per 1000 Difference:,70 per 1000 13 fewer per 1000 ( CI 95% 38 fewer -26 more ),"Low Due to serious indirectness, Due to serious imprecision, Certainty of the evidence grade differs from the 2014 review version due to alterations in the data extraction protocol: the CI has become less precise, and our decision has greater consistency with other outcome certainty grades. 8",There is probably little or no difference in unadjusted failures at day 42 between ASPY and MQ+AS.
Serious adverse events (42 days),"Relative risk 1 (CI 95% 0.25 -3.97) Based on data from 1,271 participants in 1",7 per 1000 Difference:,7 per 1000 0 fewer per 1000,"Low Due to serious indirectness, Due to serious",There may be little or no difference in serious adverse events between ASPY and MQ+AS
