Outcome Timeframe,Study results and measurements,Comparator No intervention or alternative medicines,Intervention SMC,Certainty of the evidence (Quality of evidence),Summary
"3-4 cycles, low transmission 2 Not Important",,,( CI 95% 35 fewer -13 more ),,
"Moderate anaemia in children <5 years, AS-AQ, 5-6 cycles 2 Not Important",Relative risk 0.91 (CI 95% 0.64 -1.3) Based on data from 200 participants in 1 studies. (Randomized controlled),102 per 1000 Difference:,93 per 1000 9 fewer per 1000 ( CI 95% 37 fewer -31 more ),High,5-6 cycles of SMC with AS-AQ reduces moderate anaemia in children <5 years.
"Adverse events, children up to 15 years, various regimens, 3-4 cycles, active surveillance 5 Important","Relative risk 1.4 (CI 95% 1.31 -1.51) Based on data from 18,042 participants in 4 studies. (Randomized controlled)",114 per 1000 Difference:,160 per 1000 46 more per 1000 ( CI 95% 35 more -58 more ),High,SMC increases adverse events in children up to 15 years.
