"Clinical question/ PICO
Population: Adults and children in a delimited geographical area with transmission of P. vivax
Intervention: Mass drug administration (MDA)
Comparator: no MDA
Summary
The systematic review identified five cRCTs and seven NRSs in eight countries (Cambodia, India, Kenya, Lao People’s
Democratic Republic, Myanmar, Panama, Solomon Islands, Venezuela [Bolivarian Republic of] and Viet Nam) assessing the
impact of MDA on P. vivax transmission to no MDA (Schneider et al unpublished evidence). All of the cRCTs used DP and four
of the studies also administered single low-dose primaquine, but none of the cRCTs used sufficient dosage of an
8-aminoquinoline to achieve radical cure of P. vivax hypnozoites1. One study provided a single round of MDA while the other
four conducted three rounds of MDA. Among the NRSs, only one study reported radical cure of P. vivax. There was more
variability in the design of MDA among the NRSs with respect to drug regimens and number of rounds, ranging from a single
round to 24 weekly rounds.
The meta-analysis of the data from cRCTs showed MDA may reduce P. vivax prevalence 1–3 months after the last round of
MDA but there was no impact of MDA on prevalence of P. vivax at later time periods. The certainty of evidence obtained from
the NRSs was very low across all time periods and outcomes. Data from a cRCT that did not provide an 8-aminoquinoline
medicine found that MDA probably did not increase the rate of severe adverse events within 0 – 3 months.
1 The systematic review considered the following as the minimum adult dosage of 8-aminoquinoline medicines to achieve radical cure: 210 mg of primaquine
over eight weeks; 1.25 g of plasmochin over 14 days. One study that contributed to the adverse events outcome (Comer 1971) considered its primaquine adult
dosage regimen (40 mg of primaquine every two weeks for two years) to be radical cure, but as the total dose for an eight-week period (i.e. 160 mg) was less
than 210 mg, the systematic review did not consider this to be radical cure.",Col1,Col2,Col3,Col4,Col5
"Outcome
Timeframe","Study results and
measurements","Comparator
no MDA","Intervention
Mass drug
administration
(MDA)","Certainty of the
evidence
(Quality of evidence)",Summary
"1-3 months -
Prevalence -
NRS","Relative risk 0.18
(CI 95% 0.1 — 0.33)
Based on data from
1,024 participants in 2
studies. (Observational
(non-randomized))","231
per 1000
Difference:","42
per 1000
189 fewer per
1000
( CI 95% 208
fewer — 155","Very low
Due to serious risk
of bias, Due to
serious
inconsistency 1","The evidence is very
uncertain about the effect
of MDA on P. vivax
prevalence between 1-3
months"
,,,,,
