Outcome Timeframe,Study results and measurements,Comparator No malaria vaccination,Intervention Malaria vaccination,Certainty of the evidence (Quality of evidence),Summary
(within 28 days of vaccination); R21/Matrix-M vs. control 126 Phase 2b randomized trial 2019-2021,participants in 1 studies. 127 (Randomized controlled) Follow up: 12 months post dose 3.,,,imprecision 128,between R21/Matrix-M vaccination and febrile convulsions from this study.
Febrile convulsions (within 28 days of vaccination); R21/Matrix-M vs. control 129 Phase 3 randomized trial 2021-ongoing 6 Important,"Rate ratio 4 (CI 95% 0.5 -31.95) Based on data from 4,878 participants in 1 studies. 130 (Randomized controlled) Follow up: April 2021 - 31 March 2023.",0.6 per 1000 Difference:,2.5 per 1000 2 more per 1000 ( CI 95% 0 fewer- 19 more ),Moderate Due to imprecision,"R21/Matrix-M probably results in an increased risk of febrile convulsions. In the vaccinated group, 5 events occurred in days 0-3 after vaccination, and 3 events occurred in days occurred in days 4-28."
"Incidence rate ratio of meningitis; 3 or 4 doses RTS,S/ AS01 vs. control 131 Post-hoc analysis of Phase 3 randomized trial 2009-2014 6 Important","Rate ratio 10.5 (CI 95% 1.41 -78) Based on data from 8,922 participants in 1 studies. 132 (Randomized controlled) Follow up: month 0 to study end (median 48 months).",0.3 per 1000 Difference:,3.5 per 1000 3 more per 1000 ( CI 95% 0 fewer- 26 more ),Low Due to risk of bias and serious imprecision 133,"There were too few meningitis cases to determine an association with RTS,S/AS01 vaccination."
"Incidence rate ratio of meningitis in RTS,S/AS01 alone vs. SMC alone vs. RTS,S/ AS01 + SMC combination 134 Phase 3b randomized trial 2017-2020 6 Important","Based on data from 6,861 participants in 1 studies. 135 (Randomized controlled) Follow up: 3 years.",,,Low Due to very serious imprecision 136,"There were no meningitis cases to determine an association with RTS,S/ AS01 vaccination."
Ratio of ratios: incidence ratio of hospital admission with meningitis in age-eligible and age-ineligible children in,"0.98 (CI 95% 0.63 -1.52) Based on data from 58,114 participants in 1 studies. 138 Follow up: month 0 to month 46.",,,Moderate Due to serious imprecision. 139,"There is probably no difference in meningitis with RTS,S/AS01 vaccination."
