"IRS and ITNs vs ITNs
IRS in addition to ITNs probably has little or no effect on malaria incidence compared to ITNs alone
(Rate ratio: 1.17; 95% CI (0.92–1.46); two studies; moderate certainty evidence)
IRS in addition to ITNs may have little or no effect on parasite prevalence compared to ITNs alone
(Odds ratio: 1.04; 95% CI (0.73–1.48); four studies; low certainty evidence)
It is unknown whether IRS in addition to ITNs reduces the EIR compared to ITNs alone
(Rate ratio: 0.57; 95% CI (0.26–1.25); two studies; very low certainty evidence)
IRS in addition to ITNs probably has little or no effect on anaemia prevalence compared to ITNs alone
(Odds ratio: 1.04; 95% CI (0.83–1.30); two studies; moderate certainty evidence)",Col1,Col2,Col3,Col4,Col5
"Outcome
Timeframe","Study results and
measurements","Comparator
ITNs","Intervention
Pyrethroid-like IRS
plus ITNs","Certainty of the
evidence
(Quality of evidence)",Summary
"Malaria
incidence","Relative risk 1.17
(CI 95% 0.92 — 1.46)
Based on data from 5,249
participants in 2 studies.
(Randomized controlled)","600
per 1000
Difference:","700
per 1000
100 more per
1000
( CI 95% 50 fewer
— 280 more )","Moderate
Due to serious
imprecision 1","IRS using pyrethroid-like
insecticides in addition to
pyrethroid ITNs probably
has little or no effect on
malaria incidence
compared to pyrethroid
ITNs alone."
"Malaria
prevalence","Odds ratio 1.04
(CI 95% 0.73 — 1.48)
Based on data from
34,530 participants in 4
studies. (Randomized
controlled)","180
per 1000
Difference:","190
per 1000
10 more per 1000
( CI 95% 40 fewer
— 70 more )","Low
Due to serious
inconsistency, Due
to serious
imprecision 2","IRS using pyrethroid-like
insecticides in addition to
pyrethroid ITNs may have
little or no effect on
parasite prevalence
compared to pyrethroid
ITNs alone"
"Entomological
inoculation rate","Relative risk 0.57
(CI 95% 0.26 — 1.25)
Based on data from
participants in 2 studies.
(Randomized controlled)","1,170
per 1000
Difference:","670
per 1000
500 fewer per
1000
( CI 95% 870 fewer
— 290 fewer )","Very low
Due to serious
inconsistency, Due
to very serious
imprecision 3","The evidence is very
uncertain about the effect
of IRS using pyrethroid-
like insecticides in
addition to pyrethroid ITNs
on EIR compared to
pyrethroid ITNs alone."
"Anaemia
prevalence
(haemoglobin
<8g/dl)","Odds ratio 1.04
(CI 95% 0.83 — 1.3)
Based on data from
12,940 participants in 2
studies. (Randomized
controlled)","50
per 1000
Difference:","50
per 1000
0 fewer per 1000
( CI 95% 10 fewer
— 10 more )","Moderate
Due to serious
imprecision 4","IRS using pyrethroid-like
insecticides in addition to
pyrethroid ITNs probably
has little or no effect on
anaemia prevalence
compared to pyrethroid
ITNs alone"
"1, 4. Imprecision: serious.
2. Inconsistency: serious. Imprecision: serious.
3. Inconsistency: serious. Imprecision: very serious.
References
85. Choi L, Pryce J, Garner P. Indoor residual spraying for preventing malaria in communities using insecticide‐treated nets. The
Cochrane database of systematic reviews 2019;(5):CD012688 Pubmed Journal Website",,,,,
