Outcome Timeframe,Study results and measurements,Comparator No malaria vaccination,Intervention Malaria vaccination,Certainty of the evidence (Quality of evidence),Summary
randomized trial 2019-2021 6 Important,,,,,
"Serious adverse events; RTS,S/ AS01 vs. control 101 Phase 3 randomized trial 2009-2014 9 Critical","Rate ratio 0.88 (CI 95% 0.81 -0.95) Based on data from 8,922 participants in 1 studies. 102 (Randomized controlled) Follow up: month 0 to study end (median 48 months).",264 per 1000 Difference:,232 per 1000 32 fewer per 1000 ( CI 95% 50 fewer -13 fewer ),Moderate Due to imprecision,"RTS,S/AS01 vaccination probably reduces the risk of serious adverse events compared with control"
"Serious adverse events; RTS,S/ AS01 vs. control 103 Phase 2b randomized trial 2017-2018 9 Critical",Rate ratio 0.76 (CI 95% 0.52 -1.13) Based on data from 591 participants in 1 studies. 104 (Randomized controlled) Follow up: month 0 to month 20.,167 per 1000 Difference:,128 per 1000 40 fewer per 1000 ( CI 95% 80 fewer -22 more ),Low Due to serious imprecision 105,"Too few events and small sample size to determine an association between RTS,S/AS01 vaccination and serious adverse events from this study."
"Serious adverse events; RTS,S/ AS01 alone vs. SMC alone 106 Phase 3b randomized trial 2017-2020 9 Critical","Based on data from 3,953 participants in 1 studies. 107 (Randomized controlled) Follow up: 3 years.",0 per 1000,1.5 per 1000,Low Due to serious imprecision; zero events in the control group. 108,"Due to zero events in the control group, cannot determine an association between RTS,S/AS01 vaccination and serious adverse events from this study."
"Serious adverse events; RTS,S/ AS01 + SMC combination vs. SMC alone 109 Phase 3b randomized trial 2017-2020 9 Critical","Based on data from 3,932 participants in 1 studies. 110 (Randomized controlled) Follow up: 3 years.",0 per 1000,1 per 1000,Low Due to serious imprecision; zero events in the control group. 111,"Due to zero events in the control group, cannot determine an association between RTS,S/AS01 vaccination and serious adverse events from this study."
Serious adverse events; R21/ Matrix-M vs. control 112 Phase 2b randomized trial 2019-2021,Rate ratio 4.29 (CI 95% 0.48 -37.88) Based on data from 290 participants in 1 studies. 113 (Randomized controlled) Follow up: 12 months post dose 3.,7 per 1000 Difference:,29 per 1000 22 more per 1000 ( CI 95% 3 fewer- 246 more ),Low Due to serious imprecision 114,Too few events and small sample size to determine an association between R21/Matrix-M vaccination and serious adverse events from this study.
