Outcome Timeframe,Study results and measurements,Comparator No MDA,Intervention MDA,Certainty of the evidence (Quality of evidence),Summary
"Adverse event (vomiting): SP+AS +/-PQ, RCT, Pf, low/ very low transmission 4 Important",Odds ratio 0.54 (CI 95% 0.19 -1.54) Based on data from 703 participants in 1 studies. (Randomized controlled),43 per 1000 Difference:,24 per 1000 19 fewer per 1000 ( CI 95% 35 fewer -22 more ),Moderate Due to serious imprecision 35,MDA with SP+AS +/-PQ probably increases vomiting.
"Difference in haemoglobin between day 1 and day 7, Pf, low/very low transmission",High better Based on data from 680 participants in 1 studies. (Randomized controlled),Difference:,MD 0.53 higher ( CI 95% 0.27 higher -0.79 higher ),High,MDA improves difference in haemoglobin levels between day 1 and day 7 post-MDA treatment.
"Pf: Adverse events in low/ very low transmission settings, cRCTs",Based on data from participants in 5 studies. (Randomized controlled),"SAE: Morris_2018 reported Shekalaghe_2011 reported a serious skin reaction and anaemia, Eisele_2020 reported SAEs, of which three were unrelated to drug ingestion, McLean_2021 reported six SAEs deaths [all deemed unrelated drug], one stillbirth, one miscarriage, and one episode of severe dehydration secondary to vomiting and AE: Morris_2018 used both passive detection of AEs; individuals reported a total events out of 2411 doses of single low dose primaquine; commonly reported AEs were and vomiting (33.1% of all dizziness, headache, and (23.5%), and stomach pain diarrhoea (18.9%). von reported that '1535 of 8112 participants recalled which 911 (35%) were related to the of the 2577 AEs were (8%) nausea, 96 (4%) (2%) itching, and participants reported a minor complaints. There were of severe haemolysis.' Among courses of DHAP, Eisele_2020 reported 687 AEs. The most AE reported was gastrointestinal disturbances (diarrhoea, abdominal pain, and nausea) dizziness 19.8%; headache general body weakness at McLean_2021 reported 151 a total of 10677 doses. The these (120) were mild, and and rash or itching were commonly reported. Only 18 assessed as probably related medicine.","no SAEs, two SAEs: severe four deemed and (three to the diarrhoea). active and 298 of 414 DHAP + the most nausea reports), fatigue and Seidlein_2019 (19%) MDA 2577 AEs, of considered antimalarials; 592 (23%) dizziness, 199 vomiting, and 39 1653 (64%) range of other no cases 336821 common vomiting, at 48.6%; 16.0%, and 11.4%. AEs out of majority of dizziness most AEs were to the",Low 36,
