Outcome Timeframe,Study results and measurements,Comparator AL,Intervention ASPY,Certainty of the evidence (Quality of evidence),Summary
bilirubin increase (42 days),"Based on data from 3,130 participants in 3 studies. 15 (Randomized controlled)",per 1000 Difference:,per 1000 1 fewer per 1000 ( CI 95% 4 fewer -6more ),"indirectness, Due to serious imprecision 16",between ASPY and AL.
