"Outcome
Timeframe","Study results and
measurements","Comparator
No malaria
vaccination","Intervention
Malaria vaccination","Certainty of the
evidence
(Quality of evidence)",Summary
"RTS,S/AS01
implementing
vs. comparison
areas (age-
based
vaccination) 137
Pilot
implementation
study 2019–2023
6 Important",,,,,
"Incidence rate
ratio of
meningitis; R21/
Matrix-M vs.
control 140
Phase 3
randomized trial;
2021-ongoing
6 Important","Based on data from 4,878
participants in 1 studies.
141 (Randomized
controlled)
Follow up: April 2021 - 31
March 2023.","0
per 1000","0.6
per 1000","Low
Due to serious
imprecision; zero
events in the
control group. 142","R21/Matrix-M may result in
little to no difference in
meningitis cases compared
to control"
"Ratio of ratios:
incidence ratio
of hospital
admission with
cerebral malaria
in age-eligible
and age-
ineligible
children in
RTS,S/AS01
implementing
vs. comparison
areas (age-
based
vaccination) 143
Pilot
implementation
study 2019–2023
6 Important","0.94
(CI 95% 0.63 — 1.39)
Based on data from 58,114
participants in 1 studies.
144
Follow up: month 0 to
month 46.",,,"Moderate
Due to serious
inconsistency and
serious imprecision.
145","RTS,S/AS01 vaccination
probably results in no
difference in cerebral
malaria."
"Incidence rate
ratio of possible
cerebral malaria;
3 or 4 doses
RTS,S/AS01 vs.
control 146
Post-hoc analysis
of Phase 3
randomized trial
2009–2014
6 Important","Rate ratio 2.15
(CI 95% 1.1 — 4.3)
Based on data from 8,922
participants in 1 studies.
147
Follow up: month 0 to
study end (median 48
months).","3.4
per 1000
Difference:","7.2
per 1000
4 more per 1000
( CI 95% 4 more —
1 more )","Very low
Due to very serious
risk of bias and
serious imprecision
148","Uncertainty whether
RTS,S/AS01 vaccination is
associated with an
increase in cerebral
malaria cases."
,,,,,
