Outcome Timeframe,Study results and measurements,Comparator No MDA,Intervention MDA,Certainty of the evidence (Quality of evidence),Summary
"RCT, Pv 1-3 months post- MDA 9 Critical","62,744 participants in 2 studies. (Observational (non-randomized))",,( CI 95% 48 fewer -41 fewer ),inconsistency 7,clinical malaria incidence 1-3 months post-MDA.
"Clinical malaria incidence: non- RCT, Pv 4-12 months post- MDA 9 Critical","Rate ratio 0.72 (CI 95% 0.68 -0.76) Based on data from 11,300 participants in 1 studies. (Observational (non-randomized))",Difference:,44 fewer per 1000 ( CI 95% 50 fewer -37 fewer ),Very low Due to very serious risk of bias 8,We are uncertain whether MDA increases or decreases P. vivax clinical malaria incidence 4-12 months post-MDA.
"Clinical malaria incidence: non- RCT, Pv 12-24 months post-MDA 9 Critical","Rate ratio 0.04 (CI 95% 0.02 -0.07) Based on data from 11,300 participants in 1 studies. (Observational (non-randomized))",Difference:,150 fewer per 1000 ( CI 95% 153 fewer -145 fewer ),Very low Due to very serious risk of bias 9,We are uncertain whether MDA increases or decreases P. vivax clinical malaria incidence 12-24 months post-MDA.
"All-cause mortality: all ages, non-RCT, Pf, mod/high transmission <1 month post- MDA 7 Critical","Relative risk 0.68 (CI 95% 0.57 -0.81) Based on data from 7,541,000 participants in 1 studies. (Observational (non-randomized))",81 per 1 million Difference:,55 per 1 million 26 fewer per 1 million ( CI 95% 35 fewer -15 fewer ),Very low Due to serious risk of bias 10,We are uncertain whether MDA increases or decreases all-cause mortality in all ages <1 month post-MDA.
"All-cause mortality: <5 years, non-RCT, Pf, mod/high transmission <1 month post- MDA 7 Critical","Relative risk 0.34 (CI 95% 0.25 -0.47) Based on data from 1,353,070 participants in 1 studies. (Observational (non-randomized))",250 per 1 million Difference:,85 per 1 million 165 fewer per 1 million ( CI 95% 187 fewer -132 fewer ),Very low Due to serious risk of bias 11,We are uncertain whether MDA increases or decreases all-cause mortality in children <5 years <1 month post- MDA.
"All-cause mortality: all ages, non-RCT, Pf, mod/high transmission 1-3 months post- MDA 7 Critical","Odds ratio 1.77 (CI 95% 1.54 -2.04) Based on data from 11,419,200 participants in 1 studies. (Observational (non-randomized))",51 per 1 million Difference:,87 per 1 million 36 more per 1 million ( CI 95% 25 more -48 more ),Very low Due to serious risk of bias 12,We are uncertain whether MDA increases or decreases all-cause mortality in all ages 1-3 months post-MDA.
